NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	10.495	39.035	4.424	37.428	0.159	0.914	5000.0
2	10.445	38.968	4.261	36.024	0.146	0.922	2000.0
3	12.707	47.508	5.441	45.808	0.218	0.883	2000.0
4	12.065	44.911	5.266	41.313	0.195	0.896	2000.0
5	10.897	40.77	4.524	38.23	0.196	0.9	3000.0
6	13.17	49.07	5.188	44.775	0.194	0.877	2000.0
7	10.995	40.97	4.548	38.434	0.188	0.906	2000.0
8	11.127	41.703	4.381	37.667	0.191	0.913	3000.0
9	10.524	39.578	4.323	36.338	0.161	0.921	6000.0
10	12.039	44.718	4.909	40.803	0.221	0.894	2000.0
11	12.062	45.333	4.932	42.273	0.228	0.881	2000.0
12	11.251	42.236	4.448	37.747	0.183	0.911	4000.0
13	11.3	42.205	4.678	37.985	0.179	0.913	2000.0
14	11.648	43.636	4.714	40.726	0.192	0.891	4000.0
15	10.345	38.677	4.31	37.19	0.161	0.916	2000.0
16	11.158	41.733	4.693	37.957	0.16	0.921	3000.0
17	10.47	38.919	4.198	34.594	0.166	0.928	2000.0
18	11.501	42.915	4.643	39.182	0.204	0.905	3000.0
19	11.863	44.208	4.887	39.466	0.192	0.901	4000.0
20	10.896	40.627	4.757	39.354	0.17	0.897	2000.0
21	11.087	41.064	4.584	38.639	0.175	0.911	2000.0
22	10.98	41.123	4.745	40.493	0.196	0.894	5000.0
23	10.456	38.971	4.414	37.176	0.179	0.916	5000.0
24	11.948	44.552	5.065	41.778	0.185	0.894	2000.0
25	11.527	43.255	4.453	38.106	0.201	0.908	2000.0
26	10.242	38.027	4.062	34.045	0.161	0.935	2000.0
27	11.471	42.852	4.595	38.726	0.18	0.908	3000.0
28	11.722	44.022	4.951	41.269	0.201	0.896	3000.0
29	12.005	45.113	5.217	42.65	0.204	0.892	2000.0
30	11.499	42.787	5.09	42.973	0.175	0.888	4000.0
31	10.246	38.539	4.197	35.869	0.166	0.923	4000.0
32	11.319	42.044	4.601	40.313	0.169	0.902	2000.0
33	12.737	47.638	5.4	42.964	0.213	0.891	4000.0
34	12.1	44.903	5.204	42.708	0.183	0.884	2000.0
35	11.737	44.04	4.857	42.154	0.182	0.882	4000.0
36	12.217	45.726	4.997	40.941	0.211	0.892	3000.0
37	11.049	41.087	5.048	40.227	0.17	0.894	3000.0
38	12.365	46.192	5.007	43.753	0.204	0.882	3000.0
39	10.886	40.386	4.644	38.151	0.171	0.914	3000.0
40	9.908	37.201	4.101	35.166	0.169	0.921	4000.0
41	10.662	40.004	4.259	36.38	0.18	0.913	3000.0
42	13.041	48.389	5.534	46.515	0.227	0.873	2000.0
