Samples	CNV48A	CNV48B	CNV48C	CNV48D
Syntheticpatient1	3.75E-01	2.39E-01	2.81E-01	2.71E-01
Syntheticpatient10	2.62E-01	2.68E-01	2.13E-01	3.97E-01
Syntheticpatient2	3.49E-01	1.74E-01	2.89E-01	2.80E-01
Syntheticpatient3	1.76E-01	3.76E-01	3.60E-01	2.04E-01
Syntheticpatient4	3.74E-01	4.35E-01	9.23E-02	2.90E-01
Syntheticpatient5	2.90E-01	3.41E-01	2.13E-01	2.71E-01
Syntheticpatient6	2.37E-01	2.48E-01	3.29E-01	3.62E-01
Syntheticpatient7	3.48E-01	2.57E-01	3.96E-01	4.11E-01
Syntheticpatient8	3.58E-01	2.96E-01	2.55E-01	2.39E-01
Syntheticpatient9	2.91E-01	3.13E-01	3.96E-01	2.49E-01
