MutationType	CNV48A	CNV48B	CNV48C	CNV48D
0:homdel:0-100kb	3.6534486293930967e-06	3.75114399503218e-06	3.678107590530999e-06	3.887922926878673e-06
0:homdel:100kb-1Mb	3.6534486266646126e-06	3.7511439954869275e-06	3.6781075909857462e-06	3.887922925969178e-06
0:homdel:>1Mb	3.6534486266646126e-06	3.7511439954869275e-06	3.6781075909857462e-06	3.887922925969178e-06
1:LOH:0-100kb	0.03488086842851185	0.007023599764250564	0.010123595684621893	0.07414513725383017
1:LOH:100kb-1Mb	3.6534486293930967e-06	3.75114399503218e-06	3.678107590530999e-06	3.887922926878673e-06
1:LOH:1Mb-10Mb	0.1211880391131536	0.013536060334341163	0.08209322518711121	0.04000405741218999
1:LOH:10Mb-40Mb	0.07034912173787594	0.06359387987596152	0.3367844664901495	0.0852060559665924
1:LOH:>40Mb	0.04449363270686799	0.35313638879358766	0.09448327335423164	0.06160472699449299
2:LOH:0-100kb	3.6534486266646126e-06	3.7511439954869275e-06	3.6781075909857462e-06	3.887922925969178e-06
2:LOH:100kb-1Mb	3.6534486293930967e-06	3.75114399503218e-06	3.678107590530999e-06	3.887922926878673e-06
2:LOH:1Mb-10Mb	3.6534486293930967e-06	3.75114399503218e-06	3.678107590530999e-06	3.887922926878673e-06
2:LOH:10Mb-40Mb	3.6534486293930967e-06	3.75114399503218e-06	3.678107590530999e-06	3.887922926878673e-06
2:LOH:>40Mb	3.6534486293930967e-06	3.75114399503218e-06	3.678107590530999e-06	3.887922926878673e-06
3-4:LOH:0-100kb	3.6534486293930967e-06	3.75114399503218e-06	3.678107590530999e-06	3.887922926878673e-06
3-4:LOH:100kb-1Mb	3.6534486266646126e-06	3.7511439954869275e-06	3.6781075909857462e-06	3.887922925969178e-06
3-4:LOH:1Mb-10Mb	3.6534486266646126e-06	3.7511439954869275e-06	3.6781075909857462e-06	3.887922925969178e-06
3-4:LOH:10Mb-40Mb	3.6534486266646126e-06	3.7511439954869275e-06	3.6781075909857462e-06	3.887922925969178e-06
3-4:LOH:>40Mb	3.6534486266646126e-06	3.7511439954869275e-06	3.6781075909857462e-06	3.887922925969178e-06
5-8:LOH:0-100kb	3.6534486293930967e-06	3.75114399503218e-06	3.678107590530999e-06	3.887922926878673e-06
5-8:LOH:100kb-1Mb	3.6534486293930967e-06	3.75114399503218e-06	3.678107590530999e-06	3.887922926878673e-06
5-8:LOH:1Mb-10Mb	3.6534486293930967e-06	3.75114399503218e-06	3.678107590530999e-06	3.887922926878673e-06
5-8:LOH:10Mb-40Mb	3.6534486266646126e-06	3.7511439954869275e-06	3.6781075909857462e-06	3.887922925969178e-06
5-8:LOH:>40Mb	3.6534486266646126e-06	3.7511439954869275e-06	3.6781075909857462e-06	3.887922925969178e-06
9+:LOH:0-100kb	3.6534486293930967e-06	3.75114399503218e-06	3.678107590530999e-06	3.887922926878673e-06
9+:LOH:100kb-1Mb	3.6534486266646126e-06	3.7511439954869275e-06	3.6781075909857462e-06	3.887922925969178e-06
9+:LOH:1Mb-10Mb	3.6534486266646126e-06	3.7511439954869275e-06	3.6781075909857462e-06	3.887922925969178e-06
9+:LOH:10Mb-40Mb	3.6534486293930967e-06	3.75114399503218e-06	3.678107590530999e-06	3.887922926878673e-06
9+:LOH:>40Mb	3.6534486266646126e-06	3.7511439954869275e-06	3.6781075909857462e-06	3.887922925969178e-06
2:het:0-100kb	0.001762271449982992	0.002210998280503507	0.010251594164823246	0.002247284344460113
2:het:100kb-1Mb	3.6534486266646126e-06	3.7511439954869275e-06	3.6781075909857462e-06	3.887922925969178e-06
2:het:1Mb-10Mb	0.0168427242358272	0.02609782269129011	0.020348228412153994	0.05308963241944126
2:het:10Mb-40Mb	0.0325382467948978	0.03528765409808561	0.08178979562427913	0.1708283552926539
2:het:>40Mb	0.07318307011008218	0.07552246175424013	0.08118540510535681	0.08544054254323924
3-4:het:0-100kb	0.026608033022187748	0.018919844249923736	0.03174138263678712	0.03142701545790961
3-4:het:100kb-1Mb	3.6534486266646126e-06	3.7511439954869275e-06	3.6781075909857462e-06	3.887922925969178e-06
3-4:het:1Mb-10Mb	0.017028897779865448	0.03312911428916544	0.060786578635147685	0.06952577911404621
3-4:het:10Mb-40Mb	0.14765900047685404	0.14940293124954132	0.07863870998788915	0.19274282153327277
3-4:het:>40Mb	0.41333456933125856	0.22200418168463268	0.11164133072768007	0.13359864712391303
5-8:het:0-100kb	3.6534486266646126e-06	3.7511439954869275e-06	3.6781075909857462e-06	3.887922925969178e-06
5-8:het:100kb-1Mb	3.6534486266646126e-06	3.7511439954869275e-06	3.6781075909857462e-06	3.887922925969178e-06
5-8:het:1Mb-10Mb	3.6534486293930967e-06	3.75114399503218e-06	3.678107590530999e-06	3.887922926878673e-06
5-8:het:10Mb-40Mb	3.6534486293930967e-06	3.75114399503218e-06	3.678107590530999e-06	3.887922926878673e-06
5-8:het:>40Mb	3.6534486266646126e-06	3.7511439954869275e-06	3.6781075909857462e-06	3.887922925969178e-06
9+:het:0-100kb	3.6534486293930967e-06	3.75114399503218e-06	3.678107590530999e-06	3.887922926878673e-06
9+:het:100kb-1Mb	3.6534486266646126e-06	3.7511439954869275e-06	3.6781075909857462e-06	3.887922925969178e-06
9+:het:1Mb-10Mb	3.6534486266646126e-06	3.7511439954869275e-06	3.6781075909857462e-06	3.887922925969178e-06
9+:het:10Mb-40Mb	3.6534486293930967e-06	3.75114399503218e-06	3.678107590530999e-06	3.887922926878673e-06
9+:het:>40Mb	3.6534486293930967e-06	3.75114399503218e-06	3.678107590530999e-06	3.887922926878673e-06
