MutationType	CNV48A	CNV48B	CNV48C	CNV48D
0:homdel:0-100kb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
0:homdel:100kb-1Mb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
0:homdel:>1Mb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
1:LOH:0-100kb	2.16E-03	1.07E-03	1.27E-03	3.51E-03
1:LOH:100kb-1Mb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
1:LOH:1Mb-10Mb	4.74E-03	1.95E-03	4.43E-03	3.54E-03
1:LOH:10Mb-40Mb	3.57E-03	4.09E-03	5.97E-03	3.96E-03
1:LOH:>40Mb	3.00E-03	5.60E-03	4.83E-03	3.32E-03
2:LOH:0-100kb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
2:LOH:100kb-1Mb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
2:LOH:1Mb-10Mb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
2:LOH:10Mb-40Mb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
2:LOH:>40Mb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
3-4:LOH:0-100kb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
3-4:LOH:100kb-1Mb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
3-4:LOH:1Mb-10Mb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
3-4:LOH:10Mb-40Mb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
3-4:LOH:>40Mb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
5-8:LOH:0-100kb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
5-8:LOH:100kb-1Mb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
5-8:LOH:1Mb-10Mb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
5-8:LOH:10Mb-40Mb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
5-8:LOH:>40Mb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
9+:LOH:0-100kb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
9+:LOH:100kb-1Mb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
9+:LOH:1Mb-10Mb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
9+:LOH:10Mb-40Mb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
9+:LOH:>40Mb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
2:het:0-100kb	2.92E-04	3.53E-04	7.12E-04	4.53E-04
2:het:100kb-1Mb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
2:het:1Mb-10Mb	1.61E-03	1.76E-03	1.95E-03	2.94E-03
2:het:10Mb-40Mb	2.23E-03	2.36E-03	3.77E-03	5.86E-03
2:het:>40Mb	3.11E-03	3.21E-03	3.82E-03	4.05E-03
3-4:het:0-100kb	1.92E-03	1.29E-03	2.14E-03	2.32E-03
3-4:het:100kb-1Mb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
3-4:het:1Mb-10Mb	1.59E-03	2.21E-03	2.97E-03	3.43E-03
3-4:het:10Mb-40Mb	5.00E-03	5.01E-03	4.73E-03	6.73E-03
3-4:het:>40Mb	5.78E-03	5.46E-03	4.61E-03	4.75E-03
5-8:het:0-100kb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
5-8:het:100kb-1Mb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
5-8:het:1Mb-10Mb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
5-8:het:10Mb-40Mb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
5-8:het:>40Mb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
9+:het:0-100kb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
9+:het:100kb-1Mb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
9+:het:1Mb-10Mb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
9+:het:10Mb-40Mb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
9+:het:>40Mb	5.56E-09	5.36E-09	6.02E-09	7.27E-09
