Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E
Syntheticpatient1	3.87E-01	1.95E-01	2.47E-01	3.02E-01	2.42E-01
Syntheticpatient10	2.17E-01	2.29E-01	1.70E-01	3.03E-01	3.82E-01
Syntheticpatient2	3.51E-01	1.27E-01	2.54E-01	3.11E-01	2.67E-01
Syntheticpatient3	1.76E-01	3.68E-01	3.48E-01	2.51E-01	1.60E-01
Syntheticpatient4	3.40E-01	4.36E-01	4.62E-02	3.66E-01	1.38E-01
Syntheticpatient5	2.63E-01	3.47E-01	2.02E-01	2.95E-01	2.14E-01
Syntheticpatient6	2.08E-01	2.24E-01	2.79E-01	1.78E-01	3.50E-01
Syntheticpatient7	2.48E-01	1.27E-01	3.30E-01	4.04E-01	1.79E-01
Syntheticpatient8	3.57E-01	2.88E-01	1.80E-01	2.37E-01	2.03E-01
Syntheticpatient9	2.64E-01	2.73E-01	3.84E-01	1.65E-01	2.71E-01
