MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E
0:homdel:0-100kb	3.627566952673078e-06	3.736852946076397e-06	3.655095828435151e-06	3.7725600718658826e-06	3.93135877311579e-06
0:homdel:100kb-1Mb	3.627566952673078e-06	3.736852946076397e-06	3.6550958288898984e-06	3.7725600709563877e-06	3.931358774025284e-06
0:homdel:>1Mb	3.627566952673078e-06	3.736852946531144e-06	3.655095828435151e-06	3.772560071411135e-06	3.931358773570537e-06
1:LOH:0-100kb	0.03364745301616861	0.0065427324117766725	0.004628113192434112	0.01919043201015836	0.10207774394744419
1:LOH:100kb-1Mb	3.6275669531278254e-06	3.7368529456216494e-06	3.655095828435151e-06	3.7725600709563877e-06	3.931358773570537e-06
1:LOH:1Mb-10Mb	0.13010984162970396	0.011201042218371562	0.08245155925274554	0.05090395242744973	0.04595163351151346
1:LOH:10Mb-40Mb	0.06556539334506245	0.054146971316418345	0.38397664941635595	0.11458723979984367	0.08388320457642241
1:LOH:>40Mb	0.04432223657127329	0.39582163194566966	0.10575654605066813	0.05653421213992006	0.07513669563925345
2:LOH:0-100kb	3.6275669531278254e-06	3.736852945166902e-06	3.6550958288898984e-06	3.7725600705016403e-06	3.931358774025284e-06
2:LOH:100kb-1Mb	3.627566952673078e-06	3.736852946076397e-06	3.655095828435151e-06	3.7725600709563877e-06	3.93135877311579e-06
2:LOH:1Mb-10Mb	3.627566952673078e-06	3.736852946531144e-06	3.6550958288898984e-06	3.772560069592146e-06	3.931358774480031e-06
2:LOH:10Mb-40Mb	3.6275669531278254e-06	3.7368529456216494e-06	3.6550958288898984e-06	3.7725600709563877e-06	3.931358774480031e-06
2:LOH:>40Mb	3.6275669531278254e-06	3.736852945166902e-06	3.6550958288898984e-06	3.7725600705016403e-06	3.931358774025284e-06
3-4:LOH:0-100kb	3.6275669531278254e-06	3.7368529456216494e-06	3.655095828435151e-06	3.7725600709563877e-06	3.931358773570537e-06
3-4:LOH:100kb-1Mb	3.627566952673078e-06	3.736852946076397e-06	3.6550958288898984e-06	3.772560070046893e-06	3.931358774025284e-06
3-4:LOH:1Mb-10Mb	3.627566952673078e-06	3.736852946076397e-06	3.655095828435151e-06	3.7725600718658826e-06	3.93135877311579e-06
3-4:LOH:10Mb-40Mb	3.627566952673078e-06	3.736852946531144e-06	3.655095828435151e-06	3.7725600705016403e-06	3.931358773570537e-06
3-4:LOH:>40Mb	3.627566952673078e-06	3.736852946531144e-06	3.655095828435151e-06	3.772560071411135e-06	3.931358773570537e-06
5-8:LOH:0-100kb	3.627566952673078e-06	3.736852946531144e-06	3.655095828435151e-06	3.772560071411135e-06	3.931358773570537e-06
5-8:LOH:100kb-1Mb	3.627566952673078e-06	3.736852946531144e-06	3.6550958288898984e-06	3.772560069592146e-06	3.931358774480031e-06
5-8:LOH:1Mb-10Mb	3.6275669531278254e-06	3.7368529456216494e-06	3.655095828435151e-06	3.7725600718658826e-06	3.931358773570537e-06
5-8:LOH:10Mb-40Mb	3.6275669531278254e-06	3.7368529456216494e-06	3.655095828435151e-06	3.7725600718658826e-06	3.931358773570537e-06
5-8:LOH:>40Mb	3.627566952673078e-06	3.736852946531144e-06	3.655095828435151e-06	3.772560071411135e-06	3.931358773570537e-06
9+:LOH:0-100kb	3.6275669531278254e-06	3.7368529456216494e-06	3.655095828435151e-06	3.7725600709563877e-06	3.931358773570537e-06
9+:LOH:100kb-1Mb	3.6275669531278254e-06	3.7368529456216494e-06	3.655095828435151e-06	3.7725600709563877e-06	3.931358773570537e-06
9+:LOH:1Mb-10Mb	3.6275669531278254e-06	3.7368529456216494e-06	3.6550958288898984e-06	3.7725600709563877e-06	3.931358774480031e-06
9+:LOH:10Mb-40Mb	3.6275669531278254e-06	3.7368529456216494e-06	3.6550958288898984e-06	3.772560070046893e-06	3.931358774480031e-06
9+:LOH:>40Mb	3.6275669531278254e-06	3.736852945166902e-06	3.6550958288898984e-06	3.7725600705016403e-06	3.931358774025284e-06
2:het:0-100kb	0.0019547407780280144	0.0017742646202051446	0.013972523190259838	0.0006893396572465918	0.0025404892178119147
2:het:100kb-1Mb	3.627566952673078e-06	3.736852946531144e-06	3.6550958288898984e-06	3.772560069592146e-06	3.931358774480031e-06
2:het:1Mb-10Mb	0.014841476921066637	0.023125225154770307	0.014938663275691976	0.07060128665841986	0.028808333484276485
2:het:10Mb-40Mb	0.03163693674010478	0.030648411302097243	0.06295413174967553	0.04032611381355465	0.24523448108098694
2:het:>40Mb	0.07477332381079775	0.07176331406601485	0.09496016650359407	0.06106418613882994	0.08603841402999701
3-4:het:0-100kb	0.02164542550085239	0.01878648415932164	0.023759311616518557	0.054883966601644546	0.022427308193973282
3-4:het:100kb-1Mb	3.6275669531278254e-06	3.7368529456216494e-06	3.655095828435151e-06	3.7725600709563877e-06	3.931358773570537e-06
3-4:het:1Mb-10Mb	0.015601422046514745	0.032301811485998325	0.05556961972847141	0.03350924770448019	0.09110506786156454
3-4:het:10Mb-40Mb	0.11854865315789821	0.12434999794991274	0.05419574962124845	0.32775270408019425	0.08725745927289905
3-4:het:>40Mb	0.4472225117282625	0.2294035770927164	0.10270537572921425	0.16982151455320849	0.12939763372956697
5-8:het:0-100kb	3.6275669531278254e-06	3.736852945166902e-06	3.6550958288898984e-06	3.772560071411135e-06	3.931358774025284e-06
5-8:het:100kb-1Mb	3.6275669531278254e-06	3.736852945166902e-06	3.655095828435151e-06	3.77256007232063e-06	3.93135877311579e-06
