MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E
0:homdel:0-100kb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
0:homdel:100kb-1Mb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
0:homdel:>1Mb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
1:LOH:0-100kb	2.25E-03	1.42E-03	8.44E-04	2.22E-03	4.58E-03
1:LOH:100kb-1Mb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
1:LOH:1Mb-10Mb	5.88E-03	2.01E-03	5.43E-03	4.12E-03	4.66E-03
1:LOH:10Mb-40Mb	3.64E-03	4.16E-03	7.11E-03	5.78E-03	4.19E-03
1:LOH:>40Mb	3.05E-03	6.43E-03	5.40E-03	3.81E-03	4.04E-03
2:LOH:0-100kb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
2:LOH:100kb-1Mb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
2:LOH:1Mb-10Mb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
2:LOH:10Mb-40Mb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
2:LOH:>40Mb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
3-4:LOH:0-100kb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
3-4:LOH:100kb-1Mb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
3-4:LOH:1Mb-10Mb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
3-4:LOH:10Mb-40Mb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
3-4:LOH:>40Mb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
5-8:LOH:0-100kb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
5-8:LOH:100kb-1Mb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
5-8:LOH:1Mb-10Mb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
5-8:LOH:10Mb-40Mb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
5-8:LOH:>40Mb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
9+:LOH:0-100kb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
9+:LOH:100kb-1Mb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
9+:LOH:1Mb-10Mb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
9+:LOH:10Mb-40Mb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
9+:LOH:>40Mb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
2:het:0-100kb	3.97E-04	3.51E-04	9.69E-04	2.24E-04	4.59E-04
2:het:100kb-1Mb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
2:het:1Mb-10Mb	1.61E-03	1.76E-03	1.82E-03	3.91E-03	2.59E-03
2:het:10Mb-40Mb	2.22E-03	2.29E-03	3.50E-03	2.49E-03	6.42E-03
2:het:>40Mb	3.62E-03	3.56E-03	4.54E-03	3.73E-03	4.07E-03
3-4:het:0-100kb	1.75E-03	1.53E-03	2.15E-03	3.35E-03	2.20E-03
3-4:het:100kb-1Mb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
3-4:het:1Mb-10Mb	1.84E-03	2.65E-03	3.15E-03	2.44E-03	4.17E-03
3-4:het:10Mb-40Mb	4.31E-03	4.46E-03	3.65E-03	6.50E-03	4.01E-03
3-4:het:>40Mb	6.34E-03	6.25E-03	4.81E-03	5.98E-03	4.87E-03
5-8:het:0-100kb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
5-8:het:100kb-1Mb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
5-8:het:1Mb-10Mb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
5-8:het:10Mb-40Mb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
5-8:het:>40Mb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
9+:het:0-100kb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
9+:het:100kb-1Mb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
9+:het:1Mb-10Mb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
9+:het:10Mb-40Mb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
9+:het:>40Mb	7.24E-09	6.76E-09	8.49E-09	8.27E-09	8.65E-09
