Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F
Syntheticpatient1	3.64E-01	1.37E-01	1.57E-01	2.26E-01	3.93E-01	1.37E-01
Syntheticpatient10	2.22E-01	2.06E-01	1.48E-01	2.70E-01	2.41E-01	3.50E-01
Syntheticpatient2	3.41E-01	1.00E-01	2.36E-01	2.60E-01	2.97E-01	1.98E-01
Syntheticpatient3	1.75E-01	3.63E-01	3.37E-01	2.10E-01	1.90E-01	1.20E-01
Syntheticpatient4	3.49E-01	4.27E-01	3.14E-02	3.63E-01	3.11E-01	1.18E-01
Syntheticpatient5	2.59E-01	3.47E-01	1.64E-01	2.82E-01	3.08E-01	1.89E-01
Syntheticpatient6	1.85E-01	1.78E-01	2.54E-01	1.49E-01	2.33E-01	3.26E-01
Syntheticpatient7	2.24E-01	9.27E-02	3.29E-01	3.93E-01	2.31E-01	1.44E-01
Syntheticpatient8	3.38E-01	2.10E-01	1.72E-01	1.94E-01	2.26E-01	1.28E-01
Syntheticpatient9	1.68E-01	2.49E-01	3.93E-01	7.01E-02	3.57E-01	2.31E-01
