MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F
0:homdel:0-100kb	3.5604707722995955e-06	3.7365021003097355e-06	3.5992467269352346e-06	3.7913330379524266e-06	3.7836447759218573e-06	4.021139423002751e-06
0:homdel:100kb-1Mb	3.5604707722995955e-06	3.7365021003097355e-06	3.5992467269352346e-06	3.7913330379524266e-06	3.7836447759218573e-06	4.021139423002751e-06
0:homdel:>1Mb	3.560470772754343e-06	3.7365021003097355e-06	3.5992467269352346e-06	3.7913330379524266e-06	3.7836447759218573e-06	4.021139423002751e-06
1:LOH:0-100kb	0.042164396102677554	0.004762675860270227	0.005407397524978855	0.017262246694762454	0.026668620280648946	0.10500918466521038
1:LOH:100kb-1Mb	3.5604707722995955e-06	3.7365021003097355e-06	3.5992467269352346e-06	3.7913330379524266e-06	3.7836447759218573e-06	4.021139423002751e-06
1:LOH:1Mb-10Mb	0.07463182380777138	0.0049500055937245	0.05325144357994083	0.03911098240559131	0.1889482847090522	0.02001459385755925
1:LOH:10Mb-40Mb	0.05758959414457992	0.05681078199950351	0.4292726232856512	0.10775122642774392	0.10046666529003911	0.08102330359827073
1:LOH:>40Mb	0.05386580979362783	0.4406187002584338	0.1034623537037759	0.05437966239765679	0.07878054860599161	0.07964986715023802
2:LOH:0-100kb	3.560470772754343e-06	3.7365021003097355e-06	3.5992467269352346e-06	3.7913330388619215e-06	3.7836447759218573e-06	4.021139423002751e-06
2:LOH:100kb-1Mb	3.5604707722995955e-06	3.7365021003097355e-06	3.5992467269352346e-06	3.791333037042932e-06	3.7836447759218573e-06	4.021139423002751e-06
2:LOH:1Mb-10Mb	3.560470772754343e-06	3.7365021003097355e-06	3.5992467269352346e-06	3.791333037042932e-06	3.7836447750123624e-06	4.02113942482174e-06
2:LOH:10Mb-40Mb	3.5604707732090903e-06	3.7365021003097355e-06	3.5992467269352346e-06	3.791333037042932e-06	3.7836447750123624e-06	4.02113942482174e-06
2:LOH:>40Mb	3.5604707732090903e-06	3.7365021003097355e-06	3.5992467269352346e-06	3.7913330379524266e-06	3.7836447750123624e-06	4.02113942482174e-06
3-4:LOH:0-100kb	3.5604707732090903e-06	3.7365021003097355e-06	3.5992467269352346e-06	3.7913330379524266e-06	3.7836447750123624e-06	4.02113942482174e-06
3-4:LOH:100kb-1Mb	3.5604707722995955e-06	3.7365021003097355e-06	3.5992467269352346e-06	3.791333037042932e-06	3.7836447759218573e-06	4.021139423002751e-06
3-4:LOH:1Mb-10Mb	3.5604707722995955e-06	3.7365021003097355e-06	3.5992467278447294e-06	3.7913330379524266e-06	3.7836447750123624e-06	4.021139423912246e-06
