MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F
0:homdel:0-100kb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
0:homdel:100kb-1Mb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
0:homdel:>1Mb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
1:LOH:0-100kb	3.30E-03	1.44E-03	1.24E-03	2.48E-03	2.71E-03	5.09E-03
1:LOH:100kb-1Mb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
1:LOH:1Mb-10Mb	4.40E-03	1.17E-03	4.15E-03	3.34E-03	7.67E-03	2.76E-03
1:LOH:10Mb-40Mb	3.78E-03	4.42E-03	7.59E-03	5.79E-03	4.93E-03	4.35E-03
1:LOH:>40Mb	3.71E-03	6.81E-03	5.75E-03	4.01E-03	4.54E-03	4.27E-03
2:LOH:0-100kb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
2:LOH:100kb-1Mb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
2:LOH:1Mb-10Mb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
2:LOH:10Mb-40Mb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
2:LOH:>40Mb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
3-4:LOH:0-100kb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
3-4:LOH:100kb-1Mb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
3-4:LOH:1Mb-10Mb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
3-4:LOH:10Mb-40Mb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
3-4:LOH:>40Mb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
5-8:LOH:0-100kb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
5-8:LOH:100kb-1Mb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
5-8:LOH:1Mb-10Mb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
5-8:LOH:10Mb-40Mb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
5-8:LOH:>40Mb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
9+:LOH:0-100kb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
9+:LOH:100kb-1Mb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
9+:LOH:1Mb-10Mb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
9+:LOH:10Mb-40Mb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
9+:LOH:>40Mb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
2:het:0-100kb	1.48E-04	3.90E-04	1.19E-03	1.01E-04	9.04E-04	4.81E-04
2:het:100kb-1Mb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
2:het:1Mb-10Mb	2.21E-03	1.98E-03	2.16E-03	4.74E-03	1.68E-03	2.79E-03
2:het:10Mb-40Mb	2.21E-03	2.13E-03	3.57E-03	2.64E-03	3.10E-03	6.69E-03
2:het:>40Mb	2.69E-03	3.56E-03	4.23E-03	3.42E-03	5.52E-03	4.67E-03
3-4:het:0-100kb	2.41E-03	1.66E-03	2.63E-03	3.53E-03	1.93E-03	1.53E-03
3-4:het:100kb-1Mb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
3-4:het:1Mb-10Mb	2.33E-03	2.90E-03	3.79E-03	2.54E-03	3.63E-03	5.09E-03
3-4:het:10Mb-40Mb	4.62E-03	4.86E-03	3.93E-03	6.45E-03	5.08E-03	4.42E-03
3-4:het:>40Mb	5.80E-03	6.00E-03	4.60E-03	5.73E-03	5.94E-03	4.46E-03
5-8:het:0-100kb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
5-8:het:100kb-1Mb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
5-8:het:1Mb-10Mb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
5-8:het:10Mb-40Mb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
5-8:het:>40Mb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
9+:het:0-100kb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
9+:het:100kb-1Mb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
9+:het:1Mb-10Mb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
9+:het:10Mb-40Mb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
9+:het:>40Mb	8.81E-09	9.04E-09	9.93E-09	1.09E-08	9.62E-09	1.02E-08
