Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G
Syntheticpatient1	3.03E-01	1.19E-01	1.10E-01	3.55E-01	1.79E-01	8.88E-02	2.26E-01
Syntheticpatient10	1.85E-01	1.82E-01	1.24E-01	9.16E-02	2.75E-01	3.53E-01	2.94E-01
Syntheticpatient2	3.27E-01	8.28E-02	2.19E-01	2.74E-01	2.22E-01	1.76E-01	2.66E-01
Syntheticpatient3	1.88E-01	3.52E-01	3.08E-01	6.04E-02	1.74E-01	1.01E-01	2.61E-01
Syntheticpatient4	3.11E-01	3.87E-01	1.68E-02	1.82E-01	3.02E-01	1.03E-01	3.92E-01
Syntheticpatient5	2.35E-01	3.25E-01	1.48E-01	8.30E-02	2.35E-01	1.34E-01	3.63E-01
Syntheticpatient6	1.45E-01	1.77E-01	2.11E-01	2.19E-01	1.40E-01	3.23E-01	2.62E-01
Syntheticpatient7	2.03E-01	8.08E-02	3.04E-01	1.98E-01	3.71E-01	1.05E-01	1.54E-01
Syntheticpatient8	3.48E-01	1.74E-01	1.56E-01	2.32E-01	1.56E-01	1.06E-01	2.40E-01
Syntheticpatient9	1.12E-01	2.41E-01	3.81E-01	3.20E-01	6.35E-02	1.59E-01	3.18E-01
