MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G
0:homdel:0-100kb	3.497889134905563e-06	3.7638922062797063e-06	3.5716333431992096e-06	3.7439120296767215e-06	3.8093418929747715e-06	4.011586200817874e-06	3.840979074539064e-06
0:homdel:100kb-1Mb	3.4978891358150575e-06	3.763892205370212e-06	3.5716333427444626e-06	3.7439120274029848e-06	3.8093418934295185e-06	4.011586198998885e-06	3.840979076358053e-06
0:homdel:>1Mb	3.4978891339960683e-06	3.7638922062797063e-06	3.5716333427444626e-06	3.743912030131469e-06	3.809341893884266e-06	4.011586200817874e-06	3.840979075448559e-06
1:LOH:0-100kb	0.041102632791391217	0.005348320328068491	0.003433078880776822	0.02375691748990773	0.01796468881415587	0.11638921112418239	0.03516284455012246
1:LOH:100kb-1Mb	3.4978891339960683e-06	3.7638922062797063e-06	3.5716333413802203e-06	3.7439120296767215e-06	3.8093418957032556e-06	4.011586199908379e-06	3.840979075903306e-06
1:LOH:1Mb-10Mb	0.0403973933715267	0.005148807244981257	0.040699986992091916	0.3019402966686755	0.035260469671361726	0.019243602826252756	0.01632681986212405
1:LOH:10Mb-40Mb	0.05813689923841814	0.059462680650056235	0.46398521553180033	0.10106783856052565	0.1083667450481803	0.08037519978156249	0.09095747877583434
1:LOH:>40Mb	0.05623572408871824	0.48604286332055924	0.09426177857915698	0.039017854252516186	0.04122726022289228	0.06446726701622055	0.14618047407731896
2:LOH:0-100kb	3.4978891367245524e-06	3.7638922062797063e-06	3.5716333431992096e-06	3.743912030131469e-06	3.8093418911557818e-06	4.011586202182116e-06	3.840979074539064e-06
2:LOH:100kb-1Mb	3.4978891339960683e-06	3.7638922062797063e-06	3.5716333418349678e-06	3.743912030131469e-06	3.8093418957032556e-06	4.011586199908379e-06	3.840979075903306e-06
2:LOH:1Mb-10Mb	3.4978891339960683e-06	3.7638922062797063e-06	3.5716333427444626e-06	3.743912030131469e-06	3.809341893884266e-06	4.011586200817874e-06	3.840979075448559e-06
