MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G
0:homdel:0-100kb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
0:homdel:100kb-1Mb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
0:homdel:>1Mb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
1:LOH:0-100kb	3.74E-03	1.57E-03	9.85E-04	2.68E-03	2.59E-03	5.92E-03	3.83E-03
1:LOH:100kb-1Mb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
1:LOH:1Mb-10Mb	2.88E-03	1.21E-03	3.51E-03	7.74E-03	3.08E-03	2.39E-03	2.01E-03
1:LOH:10Mb-40Mb	3.87E-03	4.61E-03	7.84E-03	5.43E-03	6.07E-03	4.36E-03	5.15E-03
1:LOH:>40Mb	4.28E-03	7.57E-03	5.48E-03	3.02E-03	3.39E-03	4.03E-03	5.77E-03
2:LOH:0-100kb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
2:LOH:100kb-1Mb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
2:LOH:1Mb-10Mb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
2:LOH:10Mb-40Mb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
2:LOH:>40Mb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
3-4:LOH:0-100kb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
3-4:LOH:100kb-1Mb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
3-4:LOH:1Mb-10Mb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
3-4:LOH:10Mb-40Mb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
3-4:LOH:>40Mb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
5-8:LOH:0-100kb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
5-8:LOH:100kb-1Mb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
5-8:LOH:1Mb-10Mb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
5-8:LOH:10Mb-40Mb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
5-8:LOH:>40Mb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
9+:LOH:0-100kb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
9+:LOH:100kb-1Mb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
9+:LOH:1Mb-10Mb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
9+:LOH:10Mb-40Mb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
9+:LOH:>40Mb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
2:het:0-100kb	9.32E-05	4.30E-04	1.16E-03	1.03E-03	2.55E-04	3.78E-04	8.84E-04
2:het:100kb-1Mb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
2:het:1Mb-10Mb	2.44E-03	2.99E-03	2.52E-03	1.55E-03	5.16E-03	3.50E-03	2.78E-03
2:het:10Mb-40Mb	1.87E-03	2.49E-03	3.37E-03	3.26E-03	2.72E-03	7.30E-03	3.53E-03
2:het:>40Mb	2.95E-03	3.75E-03	4.19E-03	5.41E-03	3.38E-03	4.16E-03	6.16E-03
3-4:het:0-100kb	3.47E-03	1.70E-03	3.43E-03	2.11E-03	4.24E-03	2.61E-03	2.10E-03
3-4:het:100kb-1Mb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
3-4:het:1Mb-10Mb	2.74E-03	2.95E-03	3.78E-03	2.03E-03	2.88E-03	5.35E-03	5.85E-03
3-4:het:10Mb-40Mb	4.87E-03	4.95E-03	4.64E-03	4.79E-03	7.28E-03	4.43E-03	5.78E-03
3-4:het:>40Mb	6.75E-03	5.87E-03	4.63E-03	7.17E-03	5.93E-03	4.29E-03	6.35E-03
5-8:het:0-100kb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
5-8:het:100kb-1Mb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
5-8:het:1Mb-10Mb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
5-8:het:10Mb-40Mb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
5-8:het:>40Mb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
9+:het:0-100kb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
9+:het:100kb-1Mb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
9+:het:1Mb-10Mb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
9+:het:10Mb-40Mb	1.39E-08	1.14E-08	1.11E-08	1.16E-08	1.37E-08	1.52E-08	1.29E-08
