Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H
Syntheticpatient1	2.65E-01	1.05E-01	1.68E-01	1.07E-01	3.45E-01	1.87E-01	8.19E-02	2.30E-01
Syntheticpatient10	1.73E-01	1.65E-01	2.53E-01	1.09E-01	6.58E-02	2.62E-01	3.35E-01	2.75E-01
Syntheticpatient2	3.00E-01	6.71E-02	1.79E-01	1.99E-01	2.67E-01	1.71E-01	1.44E-01	3.21E-01
Syntheticpatient3	1.64E-01	3.45E-01	1.65E-01	3.08E-01	1.67E-02	1.54E-01	8.64E-02	2.65E-01
Syntheticpatient4	3.45E-01	3.58E-01	3.04E-01	4.47E-03	1.74E-01	3.46E-01	6.56E-02	2.63E-01
Syntheticpatient5	2.61E-01	2.90E-01	2.28E-01	1.20E-01	2.51E-02	3.52E-01	1.14E-01	2.63E-01
Syntheticpatient6	1.26E-01	1.52E-01	9.66E-02	1.99E-01	2.14E-01	2.39E-01	3.14E-01	1.89E-01
Syntheticpatient7	1.39E-01	6.78E-02	3.51E-01	3.07E-01	1.74E-01	1.08E-01	9.80E-02	3.48E-01
Syntheticpatient8	3.59E-01	1.59E-01	1.50E-01	1.40E-01	2.38E-01	1.28E-01	9.53E-02	2.90E-01
Syntheticpatient9	9.87E-02	2.18E-01	3.91E-02	3.81E-01	2.87E-01	3.31E-01	1.78E-01	2.68E-01
