MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H
0:homdel:0-100kb	3.4846187345465294e-06	3.698420834780336e-06	3.89656610241218e-06	3.589462924082909e-06	3.7100232002558187e-06	3.992522638327501e-06	4.053582231335895e-06	3.600485990887137e-06
0:homdel:100kb-1Mb	3.4846169801312497e-06	3.698438107903712e-06	3.8965678322711025e-06	3.5894480911338176e-06	3.710027810711836e-06	3.992521010971472e-06	4.053574644331093e-06	3.6004946347247823e-06
0:homdel:>1Mb	3.4846166722672935e-06	3.698444086467134e-06	3.896568019627011e-06	3.589443028886308e-06	3.7100305814874445e-06	3.992520381501663e-06	4.0535722773711315e-06	3.600496579679202e-06
1:LOH:0-100kb	0.03371257252510548	0.002279300309366981	0.020253532269958754	0.005250291599985843	0.021429385171049895	0.02858738153834955	0.11047879013082601	0.05055550325104144
1:LOH:100kb-1Mb	3.48461753628726e-06	3.698429002724879e-06	3.896567692208918e-06	3.5894558109248466e-06	3.710023090661707e-06	3.992521891177603e-06	4.053577970807964e-06	3.6004922191068544e-06
1:LOH:1Mb-10Mb	0.03018509977882205	0.0035622894633914187	0.02942944291699755	0.05617582728534074	0.33165408696262966	0.022047866617314907	0.019462489954144114	0.02738443114679781
1:LOH:10Mb-40Mb	0.037967041778481016	0.08022588897281882	0.0715511657252092	0.47799593578030214	0.08564525611786669	0.07156152683733696	0.07360599121998289	0.18730442727602561
1:LOH:>40Mb	0.06973333605801721	0.5204506901502609	0.05306452118832544	0.08211906015114984	0.041734918679271656	0.16160500427819713	0.08045911143346943	0.06317239437886059
2:LOH:0-100kb	3.484618224320002e-06	3.698414732070887e-06	3.896567186529864e-06	3.5894679267585163e-06	3.7100166794061808e-06	3.99252325316013e-06	4.053583740642353e-06	3.600487329663338e-06
2:LOH:100kb-1Mb	3.4846178509724267e-06	3.6984261130328376e-06	3.8965666967669676e-06	3.5894582979381084e-06	3.710024607244122e-06	3.992522386255359e-06	4.05358014131707e-06	3.6004885174634183e-06
2:LOH:1Mb-10Mb	3.484617324829742e-06	3.6984289733936746e-06	3.896566763160081e-06	3.589456095141941e-06	3.7100259646649647e-06	3.992521354305723e-06	4.053579420087772e-06	3.6004890540652922e-06
2:LOH:10Mb-40Mb	3.4846176690734866e-06	3.6984259445489444e-06	3.896566779076238e-06	3.5894586035283283e-06	3.7100242134329165e-06	3.992521746951638e-06	4.05358030093339e-06	3.600488563847648e-06
2:LOH:>40Mb	3.484617762751441e-06	3.6984090143050707e-06	3.896565312061284e-06	3.5894733882742004e-06	3.7100191061654185e-06	3.9925230951212146e-06	4.053588902479533e-06	3.60047954620768e-06
3-4:LOH:0-100kb	3.4846172807192488e-06	3.6984243470215006e-06	3.8965665930845715e-06	3.589460186049109e-06	3.710023847816046e-06	3.992521359720058e-06	4.053581557855068e-06	3.600487231892657e-06
3-4:LOH:100kb-1Mb	3.4846170069613436e-06	3.698428915186014e-06	3.896566996445472e-06	3.589456213376252e-06	3.7100252334312245e-06	3.992521025452333e-06	4.053579436913423e-06	3.6004895056294116e-06
3-4:LOH:1Mb-10Mb	3.4846188200390314e-06	3.6984330911309372e-06	3.8965672592894405e-06	3.5894521133741365e-06	3.710026383259901e-06	3.992522657242148e-06	4.053575633861328e-06	3.60049313997024e-06
3-4:LOH:10Mb-40Mb	3.4846171347453494e-06	3.6984338796628437e-06	3.896567551691988e-06	3.5894517991437168e-06	3.7100261849900563e-06	3.992521302961904e-06	4.0535765451750194e-06	3.6004927934527587e-06
3-4:LOH:>40Mb	3.4846177663894195e-06	3.6984115961331554e-06	3.89656588276921e-06	3.5894709958483874e-06	3.7100188681051806e-06	3.9925231741904095e-06	4.053587113048707e-06	3.6004820295829632e-06
5-8:LOH:0-100kb	3.484617287085712e-06	3.6984287396535365e-06	3.89656727475085e-06	3.5894561156055716e-06	3.7100243141594547e-06	3.9925218368210836e-06	4.053578859839035e-06	3.6004905965683064e-06
5-8:LOH:100kb-1Mb	3.4846171024582872e-06	3.6984379516979972e-06	3.8965678322711025e-06	3.589447997910611e-06	3.710028189516379e-06	3.9925208847364505e-06	4.053574696627038e-06	3.6004944296337273e-06
5-8:LOH:1Mb-10Mb	3.4846167304749542e-06	3.698443465737e-06	3.896567980973487e-06	3.58944357958535e-06	3.710030302954692e-06	3.992520456591819e-06	4.053572508837533e-06	3.600496366857442e-06
5-8:LOH:10Mb-40Mb	3.4846172570723865e-06	3.698431199609331e-06	3.896567500305537e-06	3.5894539742002964e-06	3.7100250710864203e-06	3.992521495575829e-06	4.053577636113914e-06	3.60049188168432e-06
5-8:LOH:>40Mb	3.48461688918178e-06	3.6984402386224245e-06	3.896567874562606e-06	3.5894462771466353e-06	3.710028930754561e-06	3.9925207024680274e-06	4.053573837154545e-06	3.6004952258963383e-06
9+:LOH:0-100kb	3.4846170133278067e-06	3.6984390862926373e-06	3.8965680582805365e-06	3.5894472125619357e-06	3.7100275956163388e-06	3.992521106354729e-06	4.053573896726448e-06	3.60049569428611e-06
9+:LOH:100kb-1Mb	3.4846178155021334e-06	3.6984070989092286e-06	3.89656538663985e-06	3.5894749194085306e-06	3.7100179133631172e-06	3.992523461278097e-06	4.053589533214108e-06	3.6004792724497748e-06
9+:LOH:1Mb-10Mb	3.4846165926865068e-06	3.698445293821351e-06	3.896568403433776e-06	3.589441919757519e-06	3.7100301506143296e-06	3.992520233708774e-06	4.053571380154608e-06	3.600498024866283e-06
9+:LOH:10Mb-40Mb	3.484616895093495e-06	3.6984437274441006e-06	3.896568310665316e-06	3.5894432348868577e-06	3.7100294466654303e-06	3.9925206090032365e-06	4.053571822169033e-06	3.6004976105914468e-06
9+:LOH:>40Mb	3.484617629510467e-06	3.6984159598887345e-06	3.896565920058492e-06	3.5894672651011208e-06	3.7100212339282735e-06	3.992522779213914e-06	4.053585446399665e-06	3.600483191007697e-06
2:het:0-100kb	0.0001084723254829092	0.0020711841135073994	0.0002193860044155674	0.01367102824094286	0.0053073708180116875	0.008268663940149275	0.002158340108611128	0.004330201701037639
2:het:100kb-1Mb	3.4846176627070235e-06	3.698407234878687e-06	3.8965652502156445e-06	3.589474928958225e-06	3.7100182942140238e-06	3.992523275144322e-06	4.053589771046973e-06	3.60047882179515e-06
2:het:1Mb-10Mb	0.019324234050941604	0.02162970632869287	0.09582482604003069	0.024194731205666193	0.0031397795402899826	0.021311229578710376	0.02720070927200644	0.045535473885155456
2:het:10Mb-40Mb	0.028703649853141413	0.03205084970743169	0.04334834102788088	0.05125456054271782	0.040428346835091514	0.062123713385730035	0.3473794881683971	0.05192469068304349
2:het:>40Mb	0.051796208864667806	0.040108325585488755	0.04631419799483537	0.0672596421630065	0.08883694396844524	0.23173868735643174	0.06808071652926385	0.04916413140407403
3-4:het:0-100kb	0.036401103628012695	0.02130565447319704	0.06022236826136475	0.03208507496184374	0.014017859822220832	0.017690169539251364	0.017088999287258207	0.04645214244146487
3-4:het:100kb-1Mb	3.48461719295301e-06	3.6984323642172967e-06	3.896567431183939e-06	3.5894530747100363e-06	3.7100257245583635e-06	3.992521536886784e-06	4.053577256399876e-06	3.6004920508503345e-06
3-4:het:1Mb-10Mb	0.025048279957195784	0.025980179476890585	0.019792258151898813	0.04673605982129757	0.013438510070696772	0.10224369978321078	0.10323531141638705	0.04393547846373089
3-4:het:10Mb-40Mb	0.10469524150937466	0.09011534118654939	0.43409188171476126	0.06661785107035442	0.08231850644502725	0.1320426244884393	0.07073400921227889	0.1478464809661405
3-4:het:>40Mb	0.562199298620224	0.16008743873812167	0.12574780745379505	0.07651071676024412	0.2719154753593563	0.1406356949172228	0.07997012411762917	0.28226502902015016
5-8:het:0-100kb	3.484617251160671e-06	3.6984246573865676e-06	3.896566750427155e-06	3.5894598531740484e-06	3.7100237138929514e-06	3.992521041382702e-06	4.053581309108267e-06	3.6004876880042503e-06
5-8:het:100kb-1Mb	3.4846170055971017e-06	3.6984383120852726e-06	3.896568101936282e-06	3.5894478119189446e-06	3.7100272222687635e-06	3.992520969802627e-06	4.053574219597067e-06	3.6004954928330334e-06
5-8:het:1Mb-10Mb	3.484617308458837e-06	3.698433087720332e-06	3.896567469382717e-06	3.5894524353352608e-06	3.710025937607497e-06	3.992521603620957e-06	4.053576794376568e-06	3.600492500140717e-06
5-8:het:10Mb-40Mb	3.484617620870267e-06	3.6984204127747945e-06	3.896566227012954e-06	3.58946356254819e-06	3.7100230497344455e-06	3.992520786496811e-06	4.053583425957185e-06	3.600485067295267e-06
5-8:het:>40Mb	3.4846170215132586e-06	3.6984343848871504e-06	3.896567412539298e-06	3.5894514048777637e-06	3.7100270376413392e-06	3.992520881723749e-06	4.053576683872961e-06	3.6004922986876407e-06
9+:het:0-100kb	3.484616932382778e-06	3.6984519081215694e-06	3.896568936397671e-06	3.589436120364553e-06	3.7100320100762473e-06	3.99252020903873e-06	4.053567657592794e-06	3.600501864752914e-06
9+:het:100kb-1Mb	3.484616948753683e-06	3.6984399584980566e-06	3.896567997344391e-06	3.5894464185730613e-06	3.7100285273936606e-06	3.992520750031758e-06	4.0535737580285055e-06	3.6004955173893906e-06
9+:het:1Mb-10Mb	3.484617120193434e-06	3.6984336770728987e-06	3.8965673816164785e-06	3.5894519892281097e-06	3.710026635644681e-06	3.992521219700507e-06	4.053576875321596e-06	3.6004921681751512e-06
9+:het:10Mb-40Mb	3.4846170888158666e-06	3.698450342653814e-06	3.896568951859081e-06	3.589437401842588e-06	3.7100310869391253e-06	3.9925205033171095e-06	4.053568120525597e-06	3.600501621008334e-06
9+:het:>40Mb	3.484616567220655e-06	3.6984547984957315e-06	3.89656902416391e-06	3.589433755223581e-06	3.7100334404840398e-06	3.99251944288892e-06	4.053566757647786e-06	3.6005025509666664e-06
