MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H
0:homdel:0-100kb	1.65E-08	1.57E-08	1.79E-08	1.55E-08	1.70E-08	2.46E-08	2.00E-08	1.76E-08
0:homdel:100kb-1Mb	1.65E-08	1.57E-08	1.79E-08	1.55E-08	1.70E-08	2.46E-08	2.00E-08	1.76E-08
0:homdel:>1Mb	1.65E-08	1.57E-08	1.79E-08	1.55E-08	1.70E-08	2.46E-08	2.00E-08	1.76E-08
1:LOH:0-100kb	3.10E-03	9.48E-04	3.18E-03	1.67E-03	2.09E-03	3.77E-03	6.00E-03	4.74E-03
1:LOH:100kb-1Mb	1.65E-08	1.57E-08	1.79E-08	1.55E-08	1.70E-08	2.46E-08	2.00E-08	1.76E-08
1:LOH:1Mb-10Mb	2.54E-03	7.98E-04	3.04E-03	4.08E-03	7.96E-03	2.44E-03	2.42E-03	2.44E-03
1:LOH:10Mb-40Mb	3.06E-03	5.37E-03	5.11E-03	7.90E-03	4.90E-03	4.80E-03	4.27E-03	6.90E-03
1:LOH:>40Mb	4.68E-03	7.36E-03	4.36E-03	5.12E-03	3.44E-03	6.30E-03	4.46E-03	4.62E-03
2:LOH:0-100kb	1.65E-08	1.57E-08	1.79E-08	1.55E-08	1.70E-08	2.46E-08	2.00E-08	1.76E-08
2:LOH:100kb-1Mb	1.65E-08	1.57E-08	1.79E-08	1.55E-08	1.70E-08	2.46E-08	2.00E-08	1.76E-08
2:LOH:1Mb-10Mb	1.65E-08	1.57E-08	1.79E-08	1.55E-08	1.70E-08	2.46E-08	2.00E-08	1.76E-08
2:LOH:10Mb-40Mb	1.65E-08	1.57E-08	1.79E-08	1.55E-08	1.70E-08	2.46E-08	2.00E-08	1.76E-08
2:LOH:>40Mb	1.65E-08	1.57E-08	1.79E-08	1.55E-08	1.70E-08	2.46E-08	2.00E-08	1.76E-08
3-4:LOH:0-100kb	1.65E-08	1.57E-08	1.79E-08	1.55E-08	1.70E-08	2.46E-08	2.00E-08	1.76E-08
3-4:LOH:100kb-1Mb	1.65E-08	1.57E-08	1.79E-08	1.55E-08	1.70E-08	2.46E-08	2.00E-08	1.76E-08
3-4:LOH:1Mb-10Mb	1.65E-08	1.57E-08	1.79E-08	1.55E-08	1.70E-08	2.46E-08	2.00E-08	1.76E-08
3-4:LOH:10Mb-40Mb	1.65E-08	1.57E-08	1.79E-08	1.55E-08	1.70E-08	2.46E-08	2.00E-08	1.76E-08
3-4:LOH:>40Mb	1.65E-08	1.57E-08	1.79E-08	1.55E-08	1.70E-08	2.46E-08	2.00E-08	1.76E-08
5-8:LOH:0-100kb	1.65E-08	1.57E-08	1.79E-08	1.55E-08	1.70E-08	2.46E-08	2.00E-08	1.76E-08
5-8:LOH:100kb-1Mb	1.65E-08	1.57E-08	1.79E-08	1.55E-08	1.70E-08	2.46E-08	2.00E-08	1.76E-08
5-8:LOH:1Mb-10Mb	1.65E-08	1.57E-08	1.79E-08	1.55E-08	1.70E-08	2.46E-08	2.00E-08	1.76E-08
5-8:LOH:10Mb-40Mb	1.65E-08	1.57E-08	1.79E-08	1.55E-08	1.70E-08	2.46E-08	2.00E-08	1.76E-08
5-8:LOH:>40Mb	1.65E-08	1.57E-08	1.79E-08	1.55E-08	1.70E-08	2.46E-08	2.00E-08	1.76E-08
9+:LOH:0-100kb	1.65E-08	1.57E-08	1.79E-08	1.55E-08	1.70E-08	2.46E-08	2.00E-08	1.76E-08
9+:LOH:100kb-1Mb	1.65E-08	1.57E-08	1.79E-08	1.55E-08	1.70E-08	2.46E-08	2.00E-08	1.76E-08
9+:LOH:1Mb-10Mb	1.65E-08	1.57E-08	1.79E-08	1.55E-08	1.70E-08	2.46E-08	2.00E-08	1.76E-08
9+:LOH:10Mb-40Mb	1.65E-08	1.57E-08	1.79E-08	1.55E-08	1.70E-08	2.46E-08	2.00E-08	1.76E-08
