Samples	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I
Syntheticpatient1	2.63E-01	9.06E-02	2.67E-01	8.12E-02	3.56E-01	1.38E-01	7.75E-02	1.49E-01	2.24E-01
Syntheticpatient10	1.24E-01	1.52E-01	1.92E-01	1.08E-01	1.40E-02	2.30E-01	3.15E-01	2.19E-01	3.20E-01
Syntheticpatient2	2.94E-01	6.05E-02	2.31E-01	2.02E-01	2.23E-01	1.72E-01	1.56E-01	1.47E-01	2.97E-01
Syntheticpatient3	1.48E-01	3.30E-01	2.14E-01	2.92E-01	3.18E-02	1.50E-01	8.32E-02	2.01E-01	1.77E-01
Syntheticpatient4	2.70E-01	3.43E-01	3.96E-01	4.89E-03	1.12E-01	2.30E-01	7.25E-02	1.51E-01	1.78E-01
Syntheticpatient5	2.07E-01	2.66E-01	3.40E-01	1.25E-01	3.55E-02	1.91E-01	1.03E-01	2.84E-01	1.90E-01
Syntheticpatient6	1.39E-01	1.36E-01	1.13E-01	1.74E-01	1.87E-01	1.15E-01	3.00E-01	2.31E-01	2.06E-01
Syntheticpatient7	1.38E-01	7.43E-02	2.42E-01	2.91E-01	1.75E-01	3.51E-01	7.77E-02	9.33E-02	1.96E-01
Syntheticpatient8	3.30E-01	1.55E-01	2.18E-01	1.37E-01	1.83E-01	1.18E-01	8.42E-02	8.50E-02	2.81E-01
Syntheticpatient9	1.09E-01	1.97E-01	9.61E-02	3.52E-01	2.98E-01	3.43E-02	1.33E-01	3.54E-01	2.13E-01
