MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I
0:homdel:0-100kb	3.376021113922434e-06	3.7028125896654276e-06	3.793008342995563e-06	3.480887273459596e-06	3.7517044703221676e-06	3.9713744761683545e-06	4.082304843173399e-06	4.023904988061266e-06	3.6667210621325818e-06
0:homdel:100kb-1Mb	3.376001968149467e-06	3.7027905996325217e-06	3.7929857969629664e-06	3.4808827774957985e-06	3.75171060788788e-06	3.971411137868031e-06	4.082306680866557e-06	4.023917874319827e-06	3.6667538491382853e-06
0:homdel:>1Mb	3.375997509692752e-06	3.7028069036217913e-06	3.7929719602516343e-06	3.48089032359246e-06	3.751675394472813e-06	3.971391354518683e-06	4.082286747244835e-06	4.023968619816493e-06	3.6667576242090107e-06
1:LOH:0-100kb	0.01978592695612493	0.0026199935987750883	0.01242252371884317	0.006144793356261028	0.01753869550346107	0.01511079168659552	0.07107007165861916	0.02502869840433157	0.13430243932288655
1:LOH:100kb-1Mb	3.376025172769914e-06	3.702816230664041e-06	3.7930351688828523e-06	3.480817618364985e-06	3.7517844417364443e-06	3.971349614456887e-06	4.082304634731249e-06	4.024165297378479e-06	3.666585460185943e-06
1:LOH:1Mb-10Mb	0.04845440609405716	0.004076333679306181	0.023803961440405193	0.03959690385019736	0.3574646699546538	0.035638903233691545	0.027914666328174385	0.025016075913206228	0.030524480235138433
1:LOH:10Mb-40Mb	0.050795392761195414	0.07917625037582961	0.029937615524738642	0.5047153297960758	0.11426251648225988	0.10868938671278462	0.07004990608492075	0.12870790069693697	0.12991472450521446
1:LOH:>40Mb	0.05565472406713765	0.5328385724276304	0.12281214693075233	0.07828023854912766	0.0449821526988091	0.04942603176815256	0.07633825281270168	0.16388921321215486	0.06590902683771657
2:LOH:0-100kb	3.376023433474984e-06	3.7028018516451765e-06	3.7930388741642674e-06	3.4809258099246766e-06	3.75165639797785e-06	3.971399209717175e-06	4.082283020874548e-06	4.02371167182089e-06	3.6667632708087646e-06
2:LOH:100kb-1Mb	3.3760110856064784e-06	3.702806021379956e-06	3.7929972280608128e-06	3.480927205545247e-06	3.75157375732441e-06	3.971361818194907e-06	4.0822603286962475e-06	4.023946294575864e-06	3.6668124982868367e-06
