MutationType	CNV48A	CNV48B	CNV48C	CNV48D	CNV48E	CNV48F	CNV48G	CNV48H	CNV48I
0:homdel:0-100kb	2.06E-08	2.55E-08	2.33E-08	2.58E-08	2.92E-08	3.08E-08	5.43E-08	3.64E-08	2.92E-08
0:homdel:100kb-1Mb	2.06E-08	2.55E-08	2.33E-08	2.58E-08	2.92E-08	3.08E-08	5.43E-08	3.64E-08	2.92E-08
0:homdel:>1Mb	2.06E-08	2.55E-08	2.33E-08	2.58E-08	2.92E-08	3.08E-08	5.43E-08	3.64E-08	2.92E-08
1:LOH:0-100kb	2.15E-03	9.73E-04	2.34E-03	1.84E-03	2.05E-03	2.64E-03	4.81E-03	3.64E-03	7.65E-03
1:LOH:100kb-1Mb	2.06E-08	2.55E-08	2.33E-08	2.58E-08	2.92E-08	3.08E-08	5.43E-08	3.64E-08	2.92E-08
1:LOH:1Mb-10Mb	3.50E-03	1.04E-03	2.60E-03	3.59E-03	8.29E-03	3.13E-03	3.11E-03	2.81E-03	3.00E-03
1:LOH:10Mb-40Mb	3.91E-03	5.68E-03	3.11E-03	8.34E-03	6.19E-03	6.18E-03	4.45E-03	6.73E-03	6.32E-03
1:LOH:>40Mb	4.24E-03	7.64E-03	6.22E-03	5.45E-03	3.53E-03	4.35E-03	4.66E-03	7.23E-03	4.25E-03
2:LOH:0-100kb	2.06E-08	2.55E-08	2.33E-08	2.58E-08	2.92E-08	3.08E-08	5.43E-08	3.63E-08	2.92E-08
2:LOH:100kb-1Mb	2.06E-08	2.55E-08	2.33E-08	2.58E-08	2.91E-08	3.08E-08	5.43E-08	3.64E-08	2.92E-08
2:LOH:1Mb-10Mb	2.06E-08	2.55E-08	2.33E-08	2.58E-08	2.92E-08	3.08E-08	5.43E-08	3.64E-08	2.92E-08
2:LOH:10Mb-40Mb	2.06E-08	2.55E-08	2.33E-08	2.58E-08	2.92E-08	3.08E-08	5.43E-08	3.64E-08	2.92E-08
2:LOH:>40Mb	2.06E-08	2.55E-08	2.33E-08	2.58E-08	2.91E-08	3.08E-08	5.43E-08	3.64E-08	2.92E-08
