Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1*,1.0,1.0,YES,Most Stab Sigs,46.7%,50.71%,62.12%,47.9%,55.52,0.2236,0.2954,0.114,0.164,0.869,0.81
2,0.33,0.19,NO,N/A,39.61%,47.39%,61.75%,41.22%,54.84,0.1887,0.2936,0.084,0.161,0.904,0.813
3,0.31,0.15,NO,N/A,32.31%,35.19%,48.9%,30.29%,47.93,0.1493,0.2571,0.057,0.114,0.934,0.863
4,0.29,-0.01,NO,N/A,26.64%,28.72%,47.76%,24.24%,43.79,0.1162,0.1975,0.038,0.1,0.956,0.884
5,0.27,0.08,NO,N/A,20.75%,22.26%,30.95%,21.08%,27.81,0.094,0.1598,0.022,0.039,0.975,0.956
6,0.24,-0.18,NO,N/A,17.14%,19.67%,29.27%,17.57%,23.75,0.0814,0.1721,0.016,0.029,0.982,0.966
7,0.23,-0.29,NO,N/A,16.08%,17.91%,24.95%,15.91%,23.36,0.0742,0.1348,0.013,0.028,0.985,0.967
8,0.19,-0.32,NO,N/A,15.57%,15.84%,25.81%,15.26%,24.0,0.0735,0.1193,0.013,0.029,0.986,0.965
9,0.16,-0.31,NO,N/A,13.12%,14.83%,24.06%,12.75%,22.67,0.0632,0.1034,0.01,0.026,0.989,0.969
10,0.14,-0.26,NO,N/A,12.9%,13.95%,23.97%,12.33%,18.21,0.0588,0.1199,0.008,0.015,0.991,0.984
