MutationType	CNV48A
0:homdel:0-100kb	0.00000373
0:homdel:100kb-1Mb	0.00000373
0:homdel:>1Mb	0.00000373
1:LOH:0-100kb	0.02672972
1:LOH:100kb-1Mb	0.00000373
1:LOH:1Mb-10Mb	0.06237265
1:LOH:10Mb-40Mb	0.13379383
1:LOH:>40Mb	0.14540385
2:LOH:0-100kb	0.00000373
2:LOH:100kb-1Mb	0.00000373
2:LOH:1Mb-10Mb	0.00000373
2:LOH:10Mb-40Mb	0.00000373
2:LOH:>40Mb	0.00000373
3-4:LOH:0-100kb	0.00000373
3-4:LOH:100kb-1Mb	0.00000373
3-4:LOH:1Mb-10Mb	0.00000373
3-4:LOH:10Mb-40Mb	0.00000373
3-4:LOH:>40Mb	0.00000373
5-8:LOH:0-100kb	0.00000373
5-8:LOH:100kb-1Mb	0.00000373
5-8:LOH:1Mb-10Mb	0.00000373
5-8:LOH:10Mb-40Mb	0.00000373
5-8:LOH:>40Mb	0.00000373
9+:LOH:0-100kb	0.00000373
9+:LOH:100kb-1Mb	0.00000373
9+:LOH:1Mb-10Mb	0.00000373
9+:LOH:10Mb-40Mb	0.00000373
9+:LOH:>40Mb	0.00000373
2:het:0-100kb	0.00368204
2:het:100kb-1Mb	0.00000373
2:het:1Mb-10Mb	0.02558807
2:het:10Mb-40Mb	0.07018438
2:het:>40Mb	0.07833212
3-4:het:0-100kb	0.02570730
3-4:het:100kb-1Mb	0.00000373
3-4:het:1Mb-10Mb	0.04139092
3-4:het:10Mb-40Mb	0.14563501
3-4:het:>40Mb	0.24104581
5-8:het:0-100kb	0.00000373
5-8:het:100kb-1Mb	0.00000373
5-8:het:1Mb-10Mb	0.00000373
5-8:het:10Mb-40Mb	0.00000373
5-8:het:>40Mb	0.00000373
9+:het:0-100kb	0.00000373
9+:het:100kb-1Mb	0.00000373
9+:het:1Mb-10Mb	0.00000373
9+:het:10Mb-40Mb	0.00000373
9+:het:>40Mb	0.00000373
