MutationType	CNV48A
0:homdel:0-100kb	3.999362979811849e-06
0:homdel:100kb-1Mb	3.999362986178312e-06
0:homdel:>1Mb	3.999362986178312e-06
1:LOH:0-100kb	0.12102091098310121
1:LOH:100kb-1Mb	3.999362997092248e-06
1:LOH:1Mb-10Mb	3.999362985268817e-06
1:LOH:10Mb-40Mb	0.07894785209696056
1:LOH:>40Mb	0.12142071901773943
2:LOH:0-100kb	3.9993629879973015e-06
2:LOH:100kb-1Mb	3.999362987087807e-06
2:LOH:1Mb-10Mb	3.9993629961827535e-06
2:LOH:10Mb-40Mb	3.99936298981629e-06
2:LOH:>40Mb	3.999362986178312e-06
3-4:LOH:0-100kb	3.999362990725785e-06
3-4:LOH:100kb-1Mb	3.999362985268817e-06
3-4:LOH:1Mb-10Mb	3.99936298981629e-06
3-4:LOH:10Mb-40Mb	3.999362985268817e-06
3-4:LOH:>40Mb	3.999362980721344e-06
5-8:LOH:0-100kb	3.999362995273259e-06
5-8:LOH:100kb-1Mb	3.999362987087807e-06
5-8:LOH:1Mb-10Mb	3.9993629816308384e-06
5-8:LOH:10Mb-40Mb	3.99936298981629e-06
5-8:LOH:>40Mb	3.999362988906796e-06
9+:LOH:0-100kb	3.999362998001743e-06
9+:LOH:100kb-1Mb	3.999362988906796e-06
9+:LOH:1Mb-10Mb	3.999362992544775e-06
9+:LOH:10Mb-40Mb	3.999362987087807e-06
9+:LOH:>40Mb	3.999362982540333e-06
2:het:0-100kb	3.999362985268817e-06
2:het:100kb-1Mb	3.999362987087807e-06
2:het:1Mb-10Mb	0.0852668622259198
2:het:10Mb-40Mb	0.1538155212315396
2:het:>40Mb	0.0796678408004127
3-4:het:0-100kb	3.999362987087807e-06
3-4:het:100kb-1Mb	3.999362987087807e-06
3-4:het:1Mb-10Mb	0.0403950768591676
3-4:het:10Mb-40Mb	0.15669511259101546
3-4:het:>40Mb	0.1626141317176307
5-8:het:0-100kb	3.9993629816308384e-06
5-8:het:100kb-1Mb	3.9993629816308384e-06
5-8:het:1Mb-10Mb	3.999362988906796e-06
5-8:het:10Mb-40Mb	3.999362987087807e-06
5-8:het:>40Mb	3.999362984359323e-06
9+:het:0-100kb	3.99936299163528e-06
9+:het:100kb-1Mb	3.999362987087807e-06
9+:het:1Mb-10Mb	3.999362985268817e-06
9+:het:10Mb-40Mb	3.999362980721344e-06
9+:het:>40Mb	3.999362980721344e-06
