MutationType	CNV48A
0:homdel:0-100kb	0.00000385
0:homdel:100kb-1Mb	0.00000385
0:homdel:>1Mb	0.00000385
1:LOH:0-100kb	0.03838022
1:LOH:100kb-1Mb	0.00000385
1:LOH:1Mb-10Mb	0.07691195
1:LOH:10Mb-40Mb	0.11590572
1:LOH:>40Mb	0.11052204
2:LOH:0-100kb	0.00000385
2:LOH:100kb-1Mb	0.00000385
2:LOH:1Mb-10Mb	0.00000385
2:LOH:10Mb-40Mb	0.00000385
2:LOH:>40Mb	0.00000385
3-4:LOH:0-100kb	0.00000385
3-4:LOH:100kb-1Mb	0.00000385
3-4:LOH:1Mb-10Mb	0.00000385
3-4:LOH:10Mb-40Mb	0.00000385
3-4:LOH:>40Mb	0.00000385
5-8:LOH:0-100kb	0.00000385
5-8:LOH:100kb-1Mb	0.00000385
5-8:LOH:1Mb-10Mb	0.00000385
5-8:LOH:10Mb-40Mb	0.00000385
5-8:LOH:>40Mb	0.00000385
9+:LOH:0-100kb	0.00000385
9+:LOH:100kb-1Mb	0.00000385
9+:LOH:1Mb-10Mb	0.00000385
9+:LOH:10Mb-40Mb	0.00000385
9+:LOH:>40Mb	0.00000385
2:het:0-100kb	0.00000385
2:het:100kb-1Mb	0.00000385
2:het:1Mb-10Mb	0.00000385
2:het:10Mb-40Mb	0.19104805
2:het:>40Mb	0.07721958
3-4:het:0-100kb	0.03968769
3-4:het:100kb-1Mb	0.00000385
3-4:het:1Mb-10Mb	0.11867452
3-4:het:10Mb-40Mb	0.07298959
3-4:het:>40Mb	0.15851450
5-8:het:0-100kb	0.00000385
5-8:het:100kb-1Mb	0.00000385
5-8:het:1Mb-10Mb	0.00000385
5-8:het:10Mb-40Mb	0.00000385
5-8:het:>40Mb	0.00000385
9+:het:0-100kb	0.00000385
9+:het:100kb-1Mb	0.00000385
9+:het:1Mb-10Mb	0.00000385
9+:het:10Mb-40Mb	0.00000385
9+:het:>40Mb	0.00000385
