Samples	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H	SV32I	SV32J
Syntheticpatient1	9.62E-02	1.38E-01	1.93E-01	1.32E-01	1.24E-01	1.10E-01	1.30E-01	8.82E-02	1.01E-01	8.59E-02
Syntheticpatient10	1.29E-01	1.24E-01	1.19E-01	1.23E-01	9.33E-02	1.70E-01	1.44E-01	2.02E-01	1.44E-01	1.09E-01
Syntheticpatient2	1.78E-01	7.12E-02	1.30E-01	0.00E+00	1.08E-01	1.28E-01	2.12E-02	5.05E-02	1.09E-01	2.02E-01
Syntheticpatient3	1.46E-01	1.06E-01	1.09E-01	1.83E-01	8.54E-02	1.32E-01	7.20E-03	1.03E-01	1.13E-01	1.27E-01
Syntheticpatient4	9.96E-02	1.70E-01	1.14E-01	1.15E-01	2.14E-01	1.80E-01	1.56E-01	1.36E-01	8.53E-02	1.63E-01
Syntheticpatient5	1.95E-01	6.87E-02	1.56E-01	1.92E-01	5.18E-02	1.07E-01	1.26E-01	6.89E-02	1.50E-01	1.40E-01
Syntheticpatient6	1.34E-01	1.09E-01	8.00E-03	1.25E-01	1.59E-01	2.27E-01	3.35E-02	1.84E-01	2.07E-01	1.89E-01
Syntheticpatient7	5.81E-02	2.02E-01	0.00E+00	0.00E+00	1.97E-01	1.39E-01	1.24E-01	1.61E-01	6.34E-02	9.04E-02
Syntheticpatient8	1.81E-01	9.08E-02	0.00E+00	0.00E+00	6.71E-02	1.39E-01	2.09E-01	1.54E-01	1.71E-01	1.37E-01
Syntheticpatient9	2.13E-01	7.33E-02	1.18E-01	0.00E+00	5.70E-02	1.57E-01	1.93E-02	7.95E-02	2.53E-01	1.60E-01
