MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H	SV32I	SV32J
clustered_del_1-10Kb	5.885481155705741e-06	5.871211697702152e-06	5.579873193298378e-06	5.061752739216515e-06	5.711781468281285e-06	5.570879586455107e-06	4.71783505931073e-06	5.748580945619991e-06	5.535291267305652e-06	5.69715387378291e-06
clustered_del_10-100Kb	5.871673475339699e-06	5.889332213878878e-06	5.611395862968514e-06	5.0714657419639495e-06	5.703022740680616e-06	5.571052801921717e-06	4.7076003904152685e-06	5.761346668288658e-06	5.528406368563179e-06	5.6660255087269044e-06
clustered_del_100Kb-1Mb	5.886702238141927e-06	5.9032713247111244e-06	5.6174716603058485e-06	5.071462421977139e-06	5.711819044918692e-06	5.571401251836175e-06	4.678710470694354e-06	5.750384885447692e-06	5.5508202013392276e-06	5.658227473425505e-06
clustered_del_1Mb-10Mb	5.878958236832032e-06	5.878354394583658e-06	5.589773391634142e-06	5.061485585355248e-06	5.712442041022968e-06	5.573283421419214e-06	4.688433582000528e-06	5.765010898725217e-06	5.55269231753989e-06	5.683173970261676e-06
clustered_del_>10Mb	5.883783205934527e-06	5.8800008557646334e-06	5.5888626537914895e-06	5.062070281377714e-06	5.707156611237925e-06	5.593601405002005e-06	4.6781021251371034e-06	5.757745350089932e-06	5.55117089681624e-06	5.6854766395843906e-06
clustered_tds_1-10Kb	5.872202553683701e-06	5.873752661000176e-06	5.607730310975593e-06	5.072675675703308e-06	5.711963393442092e-06	5.602995259079445e-06	4.680358578565004e-06	5.771676997294688e-06	5.5285494923487735e-06	5.681223807200087e-06
clustered_tds_10-100Kb	5.873255359326422e-06	5.86875696848249e-06	5.600847615438435e-06	5.037728923654413e-06	5.7161020283531386e-06	5.5817831759671915e-06	4.700290397822796e-06	5.760110936384949e-06	5.5513177602896655e-06	5.6921701397928666e-06
clustered_tds_100Kb-1Mb	5.8711200619523e-06	5.869351168877936e-06	5.599647665449748e-06	5.053187561386904e-06	5.714154076511197e-06	5.573283819577272e-06	4.7139731529197856e-06	5.7646878192034616e-06	5.551550015885977e-06	5.670504578665033e-06
clustered_tds_1Mb-10Mb	5.88053005874268e-06	5.890988490635639e-06	5.5887047627384896e-06	5.071599713929234e-06	5.706280621449955e-06	5.577915372520384e-06	4.706157850086772e-06	5.750207366306438e-06	5.534516527425592e-06	5.677062603904392e-06
clustered_tds_>10Mb	5.87257721054391e-06	5.887789713403349e-06	5.59384471335354e-06	5.056776251704382e-06	5.713657482304015e-06	5.567573100836912e-06	4.711649245587574e-06	5.738631564388204e-06	5.562913602389556e-06	5.675403456918399e-06
clustered_inv_1-10Kb	5.885034218629079e-06	5.871901097161478e-06	5.606568916488416e-06	5.06858809875294e-06	5.7071540697257805e-06	5.577978764825347e-06	4.691889170602717e-06	5.758149416507677e-06	5.554157365613888e-06	5.677493053018162e-06
clustered_inv_10-100Kb	5.873074547797135e-06	5.86764886370874e-06	5.605465398866855e-06	5.068639004022168e-06	5.70873273599703e-06	5.589073754832256e-06	4.687244753567698e-06	5.76235300758492e-06	5.535779624252012e-06	5.6976941348970695e-06
clustered_inv_100Kb-1Mb	5.882990121375768e-06	5.893200801350311e-06	5.598901818451041e-06	5.053709130827717e-06	5.709788797490554e-06	5.579532016395825e-06	4.6829120191103965e-06	5.755259397813834e-06	5.544554503246193e-06	5.6831801823396996e-06
clustered_inv_1Mb-10Mb	5.866245164399764e-06	5.870935626395961e-06	5.579599819799221e-06	5.073795286032684e-06	5.722000125407642e-06	5.596996954327176e-06	4.6980471072203265e-06	5.751656284257802e-06	5.539910005276014e-06	5.6743463865893346e-06
clustered_inv_>10Mb	5.875333718535947e-06	5.88902156338183e-06	5.609323832740624e-06	5.060521882818752e-06	5.709256993074048e-06	5.55700644161133e-06	4.676535756475549e-06	5.761688298503627e-06	5.566291301117385e-06	5.692528622847905e-06
clustered_trans	5.896823910064355e-06	5.879548331651841e-06	5.608969227499557e-06	5.052404311196449e-06	5.706809685974659e-06	5.5729311864568285e-06	4.678804789587409e-06	5.773261348710577e-06	5.537025457718952e-06	5.655221794249227e-06
non-clustered_del_1-10Kb	0.000842337812348586	0.01547383433489442	0.0053426331785115565	0.003777812785025354	0.15581820480213743	0.0310068884317213	0.004325785079820619	0.009411958605190918	0.0023504749147723147	0.08878204344492273
non-clustered_del_10-100Kb	0.005965289437091633	0.013306318157469446	0.029414847876693333	0.37538592831974893	0.020274182810582415	0.02021223231510493	0.012479867629310087	0.02339107099641667	0.010056941854622942	0.023253438097198587
non-clustered_del_100Kb-1Mb	0.007750563184172144	0.023792834815707837	0.0008971675155971367	0.005611053977997861	0.013847365947901006	0.016336130893912355	0.02629455775540766	0.18228926149571545	0.039139233421254395	0.011055874713031382
non-clustered_del_1Mb-10Mb	0.011379891393327256	0.03091639366828511	0.020010656932243635	0.011267956576952119	0.02213147128239017	0.01099405499569719	0.34145155858856563	0.029740482154267944	0.010566347467589767	0.015023824113973735
non-clustered_del_>10Mb	0.906103483915329	0.11783400256998021	0.3390364989934187	0.37430892135359684	0.20708425019216142	0.4962263800576329	0.33618257817560265	0.2912572902269724	0.6662078023254872	0.6877311588227749
