MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H	SV32I	SV32J
clustered_del_1-10Kb	1.30E-07	1.31E-07	1.33E-07	1.36E-07	1.47E-07	1.30E-07	1.29E-07	1.66E-07	1.26E-07	1.46E-07
clustered_del_10-100Kb	1.29E-07	1.31E-07	1.33E-07	1.36E-07	1.47E-07	1.30E-07	1.31E-07	1.65E-07	1.25E-07	1.44E-07
clustered_del_100Kb-1Mb	1.30E-07	1.33E-07	1.32E-07	1.36E-07	1.46E-07	1.30E-07	1.29E-07	1.63E-07	1.27E-07	1.46E-07
clustered_del_1Mb-10Mb	1.29E-07	1.30E-07	1.33E-07	1.35E-07	1.47E-07	1.30E-07	1.27E-07	1.65E-07	1.26E-07	1.42E-07
clustered_del_>10Mb	1.30E-07	1.30E-07	1.32E-07	1.36E-07	1.46E-07	1.31E-07	1.28E-07	1.65E-07	1.26E-07	1.44E-07
clustered_tds_1-10Kb	1.30E-07	1.30E-07	1.33E-07	1.36E-07	1.47E-07	1.31E-07	1.27E-07	1.65E-07	1.25E-07	1.44E-07
clustered_tds_10-100Kb	1.25E-07	1.29E-07	1.33E-07	1.35E-07	1.46E-07	1.31E-07	1.28E-07	1.66E-07	1.25E-07	1.45E-07
clustered_tds_100Kb-1Mb	1.30E-07	1.29E-07	1.33E-07	1.36E-07	1.46E-07	1.31E-07	1.30E-07	1.65E-07	1.26E-07	1.44E-07
clustered_tds_1Mb-10Mb	1.29E-07	1.30E-07	1.33E-07	1.35E-07	1.47E-07	1.30E-07	1.28E-07	1.65E-07	1.25E-07	1.43E-07
clustered_tds_>10Mb	1.29E-07	1.30E-07	1.33E-07	1.36E-07	1.46E-07	1.31E-07	1.28E-07	1.65E-07	1.26E-07	1.44E-07
clustered_inv_1-10Kb	1.28E-07	1.30E-07	1.33E-07	1.36E-07	1.47E-07	1.31E-07	1.28E-07	1.65E-07	1.27E-07	1.46E-07
clustered_inv_10-100Kb	1.30E-07	1.30E-07	1.33E-07	1.36E-07	1.46E-07	1.30E-07	1.28E-07	1.65E-07	1.25E-07	1.46E-07
clustered_inv_100Kb-1Mb	1.29E-07	1.30E-07	1.32E-07	1.36E-07	1.47E-07	1.30E-07	1.28E-07	1.65E-07	1.25E-07	1.45E-07
clustered_inv_1Mb-10Mb	1.30E-07	1.31E-07	1.32E-07	1.36E-07	1.46E-07	1.31E-07	1.28E-07	1.65E-07	1.25E-07	1.46E-07
clustered_inv_>10Mb	1.30E-07	1.31E-07	1.33E-07	1.36E-07	1.46E-07	1.31E-07	1.28E-07	1.64E-07	1.26E-07	1.47E-07
clustered_trans	1.30E-07	1.29E-07	1.33E-07	1.35E-07	1.47E-07	1.30E-07	1.28E-07	1.65E-07	1.25E-07	1.40E-07
non-clustered_del_1-10Kb	4.65E-04	2.18E-03	1.80E-03	1.45E-03	8.07E-03	3.49E-03	1.18E-03	1.64E-03	5.91E-04	6.19E-03
non-clustered_del_10-100Kb	1.42E-03	2.32E-03	3.52E-03	8.44E-03	2.62E-03	2.41E-03	2.18E-03	2.93E-03	1.62E-03	3.01E-03
non-clustered_del_100Kb-1Mb	1.70E-03	3.04E-03	4.08E-04	1.66E-03	1.97E-03	2.21E-03	3.01E-03	9.05E-03	3.96E-03	2.00E-03
non-clustered_del_1Mb-10Mb	2.08E-03	3.16E-03	2.39E-03	2.00E-03	2.53E-03	1.80E-03	8.61E-03	3.24E-03	1.90E-03	2.38E-03
non-clustered_del_>10Mb	4.99E-03	4.86E-03	9.10E-03	9.33E-03	6.42E-03	6.91E-03	9.36E-03	7.30E-03	6.70E-03	7.64E-03
non-clustered_tds_1-10Kb	1.11E-03	1.38E-03	1.49E-03	1.18E-03	1.39E-03	2.28E-03	2.23E-03	2.96E-03	1.95E-03	1.02E-03
non-clustered_tds_10-100Kb	1.03E-03	1.90E-03	5.53E-04	8.75E-04	1.71E-03	3.70E-03	4.94E-04	2.79E-03	5.30E-03	1.01E-03
non-clustered_tds_100Kb-1Mb	1.13E-03	3.00E-03	3.81E-03	3.27E-03	4.32E-03	2.99E-03	3.42E-03	2.50E-03	1.50E-03	1.94E-03
non-clustered_tds_1Mb-10Mb	5.69E-04	1.73E-03	1.37E-03	2.85E-03	3.81E-03	3.96E-03	1.40E-03	2.56E-03	1.59E-03	3.84E-03
non-clustered_tds_>10Mb	2.71E-03	2.75E-03	8.01E-03	3.64E-03	2.91E-03	2.48E-03	2.35E-03	2.36E-03	3.76E-03	3.02E-03
non-clustered_inv_1-10Kb	1.30E-07	1.29E-07	1.33E-07	1.36E-07	1.46E-07	1.30E-07	1.31E-07	1.65E-07	1.26E-07	1.49E-07
non-clustered_inv_10-100Kb	1.30E-07	1.30E-07	1.33E-07	1.36E-07	1.47E-07	1.32E-07	1.29E-07	1.65E-07	1.26E-07	1.43E-07
non-clustered_inv_100Kb-1Mb	1.30E-07	1.30E-07	1.33E-07	1.36E-07	1.46E-07	1.31E-07	1.29E-07	1.66E-07	1.26E-07	1.47E-07
non-clustered_inv_1Mb-10Mb	1.30E-07	1.31E-07	1.33E-07	1.36E-07	1.47E-07	1.30E-07	1.28E-07	1.65E-07	1.25E-07	1.48E-07
non-clustered_inv_>10Mb	1.30E-07	1.31E-07	1.33E-07	1.36E-07	1.46E-07	1.31E-07	1.29E-07	1.65E-07	1.25E-07	1.45E-07
non-clustered_trans	2.08E-03	7.53E-03	6.34E-03	6.23E-03	7.52E-03	6.13E-03	7.63E-03	7.99E-03	4.67E-03	4.12E-03
