MutationType	SV32A	SV32B
clustered_del_1-10Kb	5.650441377838434e-06	5.561618186220585e-06
clustered_del_10-100Kb	5.650441377838434e-06	5.561618186220585e-06
clustered_del_100Kb-1Mb	5.650441377838434e-06	5.561618186220585e-06
clustered_del_1Mb-10Mb	5.650441377838434e-06	5.561618186220585e-06
clustered_del_>10Mb	5.650441377838434e-06	5.561618186220585e-06
clustered_tds_1-10Kb	5.650441377838434e-06	5.561618186220585e-06
clustered_tds_10-100Kb	5.650441377838434e-06	5.561618186220585e-06
clustered_tds_100Kb-1Mb	5.650441377838434e-06	5.561618186220585e-06
clustered_tds_1Mb-10Mb	5.650441377838434e-06	5.561618186220585e-06
clustered_tds_>10Mb	5.650441377838434e-06	5.561618186220585e-06
clustered_inv_1-10Kb	5.650441377838434e-06	5.561618186220585e-06
clustered_inv_10-100Kb	5.650441377838434e-06	5.561618186220585e-06
clustered_inv_100Kb-1Mb	5.650441377838434e-06	5.561618186220585e-06
clustered_inv_1Mb-10Mb	5.650441377838434e-06	5.561618186220585e-06
clustered_inv_>10Mb	5.650441377838434e-06	5.561618186220585e-06
clustered_trans	5.650441377838434e-06	5.561618186220585e-06
non-clustered_del_1-10Kb	0.013652501310019272	0.03812880439959572
non-clustered_del_10-100Kb	0.052855092985197374	0.0388240696698772
non-clustered_del_100Kb-1Mb	0.014290073952962995	0.0363865571107641
non-clustered_del_1Mb-10Mb	0.027075935597896096	0.058056479587944396
non-clustered_del_>10Mb	0.612707119345665	0.36031699816214496
non-clustered_tds_1-10Kb	0.003974400462231843	0.008213307026885105
non-clustered_tds_10-100Kb	0.013583306519820539	0.008711781217473867
non-clustered_tds_100Kb-1Mb	0.009860306004068594	0.017563102518254884
non-clustered_tds_1Mb-10Mb	0.008111527775345358	0.017106599163976482
non-clustered_tds_>10Mb	0.07463187887087568	0.03726874874373017
non-clustered_inv_1-10Kb	5.650441377838434e-06	5.561618186220585e-06
non-clustered_inv_10-100Kb	5.650441377838434e-06	5.561618186220585e-06
non-clustered_inv_100Kb-1Mb	5.650441377838434e-06	5.561618186220585e-06
non-clustered_inv_1Mb-10Mb	5.650441377838434e-06	5.561618186220585e-06
non-clustered_inv_>10Mb	5.650441377838434e-06	5.561618186220585e-06
non-clustered_trans	0.16913919469108885	0.37930675995349883
