MutationType	SV32A	SV32B	SV32C
clustered_del_1-10Kb	5.708868361580243e-06	5.5622132349526506e-06	5.469860222547141e-06
clustered_del_10-100Kb	5.708868361580243e-06	5.5622132349526506e-06	5.469860222547141e-06
clustered_del_100Kb-1Mb	5.708868362489738e-06	5.5622132349526506e-06	5.469860222547141e-06
clustered_del_1Mb-10Mb	5.708868362489738e-06	5.5622132349526506e-06	5.469860222547141e-06
clustered_del_>10Mb	5.708868362489738e-06	5.5622132349526506e-06	5.469860222547141e-06
clustered_tds_1-10Kb	5.708868361580243e-06	5.5622132349526506e-06	5.469860222547141e-06
clustered_tds_10-100Kb	5.708868361580243e-06	5.5622132349526506e-06	5.469860222547141e-06
clustered_tds_100Kb-1Mb	5.708868362489738e-06	5.5622132349526506e-06	5.469860222547141e-06
clustered_tds_1Mb-10Mb	5.708868362489738e-06	5.5622132349526506e-06	5.469860222547141e-06
clustered_tds_>10Mb	5.708868362489738e-06	5.5622132349526506e-06	5.469860222547141e-06
clustered_inv_1-10Kb	5.708868362489738e-06	5.5622132349526506e-06	5.469860222547141e-06
clustered_inv_10-100Kb	5.708868362489738e-06	5.5622132349526506e-06	5.469860222547141e-06
clustered_inv_100Kb-1Mb	5.708868362489738e-06	5.5622132349526506e-06	5.469860222547141e-06
clustered_inv_1Mb-10Mb	5.708868362489738e-06	5.5622132349526506e-06	5.469860222547141e-06
clustered_inv_>10Mb	5.708868362489738e-06	5.5622132349526506e-06	5.469860222547141e-06
clustered_trans	5.708868362489738e-06	5.5622132349526506e-06	5.469860222547141e-06
non-clustered_del_1-10Kb	0.012181449730437797	0.04919015340787328	0.0198458151282111
non-clustered_del_10-100Kb	0.03641494828371882	0.030240859095752647	0.07916118162641407
non-clustered_del_100Kb-1Mb	0.015451593399087395	0.04170772749224863	0.022600821289064398
non-clustered_del_1Mb-10Mb	0.02441145338473883	0.06676905229628446	0.042529776198259754
non-clustered_del_>10Mb	0.6964566260576248	0.2631857379464474	0.4533448201051467
non-clustered_tds_1-10Kb	0.0037498304845933897	0.008571150376766581	0.006882769588003725
non-clustered_tds_10-100Kb	0.018224562397108256	0.006372060276638946	0.009857880634704195
non-clustered_tds_100Kb-1Mb	0.006060948514865203	0.019776439674850273	0.019590470298794273
non-clustered_tds_1Mb-10Mb	0.007283967522892438	0.020604388421403812	0.012924189984778593
non-clustered_tds_>10Mb	0.05675386968527056	0.029810298545647308	0.09038259147220933
non-clustered_inv_1-10Kb	5.708868362489738e-06	5.5622132349526506e-06	5.469860222547141e-06
non-clustered_inv_10-100Kb	5.708868361580243e-06	5.5622132349526506e-06	5.469860222547141e-06
non-clustered_inv_100Kb-1Mb	5.708868362489738e-06	5.5622132349526506e-06	5.469860222547141e-06
non-clustered_inv_1Mb-10Mb	5.708868361580243e-06	5.5622132349526506e-06	5.469860222547141e-06
non-clustered_inv_>10Mb	5.708868361580243e-06	5.5622132349526506e-06	5.469860222547141e-06
non-clustered_trans	0.122890866498559	0.46365532363951206	0.24276482201325053
