MutationType	SV32A	SV32B	SV32C
clustered_del_1-10Kb	1.40E-08	1.83E-08	1.80E-08
clustered_del_10-100Kb	1.40E-08	1.83E-08	1.80E-08
clustered_del_100Kb-1Mb	1.40E-08	1.83E-08	1.80E-08
clustered_del_1Mb-10Mb	1.40E-08	1.83E-08	1.80E-08
clustered_del_>10Mb	1.40E-08	1.83E-08	1.80E-08
clustered_tds_1-10Kb	1.40E-08	1.83E-08	1.80E-08
clustered_tds_10-100Kb	1.40E-08	1.83E-08	1.80E-08
clustered_tds_100Kb-1Mb	1.40E-08	1.83E-08	1.80E-08
clustered_tds_1Mb-10Mb	1.40E-08	1.83E-08	1.80E-08
clustered_tds_>10Mb	1.40E-08	1.83E-08	1.80E-08
clustered_inv_1-10Kb	1.40E-08	1.83E-08	1.80E-08
clustered_inv_10-100Kb	1.40E-08	1.83E-08	1.80E-08
clustered_inv_100Kb-1Mb	1.40E-08	1.83E-08	1.80E-08
clustered_inv_1Mb-10Mb	1.40E-08	1.83E-08	1.80E-08
clustered_inv_>10Mb	1.40E-08	1.83E-08	1.80E-08
clustered_trans	1.40E-08	1.83E-08	1.80E-08
non-clustered_del_1-10Kb	1.14E-03	2.41E-03	1.86E-03
non-clustered_del_10-100Kb	2.38E-03	2.55E-03	3.74E-03
non-clustered_del_100Kb-1Mb	1.51E-03	2.22E-03	1.86E-03
non-clustered_del_1Mb-10Mb	2.16E-03	3.23E-03	2.68E-03
non-clustered_del_>10Mb	5.12E-03	6.42E-03	5.71E-03
non-clustered_tds_1-10Kb	5.41E-04	7.68E-04	7.21E-04
non-clustered_tds_10-100Kb	1.31E-03	7.35E-04	9.41E-04
non-clustered_tds_100Kb-1Mb	8.91E-04	1.40E-03	1.51E-03
non-clustered_tds_1Mb-10Mb	8.14E-04	1.39E-03	1.23E-03
non-clustered_tds_>10Mb	3.20E-03	3.08E-03	4.66E-03
non-clustered_inv_1-10Kb	1.40E-08	1.83E-08	1.80E-08
non-clustered_inv_10-100Kb	1.40E-08	1.83E-08	1.80E-08
non-clustered_inv_100Kb-1Mb	1.40E-08	1.83E-08	1.80E-08
non-clustered_inv_1Mb-10Mb	1.40E-08	1.83E-08	1.80E-08
non-clustered_inv_>10Mb	1.40E-08	1.83E-08	1.80E-08
non-clustered_trans	3.56E-03	6.03E-03	4.36E-03
