Samples	SV32A	SV32B	SV32C	SV32D
Syntheticpatient1	1.78E-01	2.85E-01	1.92E-01	2.12E-01
Syntheticpatient10	2.07E-01	2.32E-01	2.84E-01	2.25E-01
Syntheticpatient2	2.54E-01	2.07E-01	2.14E-01	1.38E-01
Syntheticpatient3	2.40E-01	2.73E-01	2.07E-01	1.37E-01
Syntheticpatient4	1.97E-01	2.60E-01	3.13E-01	3.06E-01
Syntheticpatient5	3.04E-01	3.17E-01	2.02E-01	1.13E-01
Syntheticpatient6	3.09E-01	2.23E-01	3.60E-01	2.47E-01
Syntheticpatient7	1.15E-01	7.04E-02	2.79E-01	2.81E-01
Syntheticpatient8	2.77E-01	1.11E-01	3.05E-01	2.16E-01
Syntheticpatient9	3.07E-01	2.48E-01	2.28E-01	1.14E-01
