MutationType	SV32A	SV32B	SV32C	SV32D
clustered_del_1-10Kb	5.73888403505407e-06	5.377133573347237e-06	5.535353471714188e-06	5.538191318464669e-06
clustered_del_10-100Kb	5.73888403505407e-06	5.377133573347237e-06	5.535353471714188e-06	5.538191318464669e-06
clustered_del_100Kb-1Mb	5.73888403505407e-06	5.377133573347237e-06	5.535353471714188e-06	5.538191318464669e-06
clustered_del_1Mb-10Mb	5.73888403505407e-06	5.377133573347237e-06	5.535353471714188e-06	5.538191318464669e-06
clustered_del_>10Mb	5.73888403505407e-06	5.377133573347237e-06	5.535353471714188e-06	5.538191318464669e-06
clustered_tds_1-10Kb	5.73888403505407e-06	5.377133573347237e-06	5.535353471714188e-06	5.538191318464669e-06
clustered_tds_10-100Kb	5.73888403505407e-06	5.377133573347237e-06	5.535353471714188e-06	5.538191318464669e-06
clustered_tds_100Kb-1Mb	5.73888403505407e-06	5.377133573347237e-06	5.535353471714188e-06	5.538191318464669e-06
clustered_tds_1Mb-10Mb	5.73888403505407e-06	5.377133573347237e-06	5.535353471714188e-06	5.538191318464669e-06
clustered_tds_>10Mb	5.73888403505407e-06	5.377133573347237e-06	5.535353471714188e-06	5.538191318464669e-06
clustered_inv_1-10Kb	5.73888403505407e-06	5.377133573347237e-06	5.535353471714188e-06	5.538191318464669e-06
clustered_inv_10-100Kb	5.73888403505407e-06	5.377133573347237e-06	5.535353471714188e-06	5.538191318464669e-06
clustered_inv_100Kb-1Mb	5.73888403505407e-06	5.377133573347237e-06	5.535353471714188e-06	5.538191318464669e-06
clustered_inv_1Mb-10Mb	5.73888403505407e-06	5.377133573347237e-06	5.535353471714188e-06	5.538191318464669e-06
clustered_inv_>10Mb	5.73888403505407e-06	5.377133573347237e-06	5.535353471714188e-06	5.538191318464669e-06
clustered_trans	5.73888403505407e-06	5.377133573347237e-06	5.535353471714188e-06	5.538191318464669e-06
non-clustered_del_1-10Kb	0.012632119155018003	0.010280679684652277	0.039104901319119166	0.051404445919691844
non-clustered_del_10-100Kb	0.0252117958333678	0.1160013547119062	0.03281805322245296	0.03008149613006967
non-clustered_del_100Kb-1Mb	0.01469979856832131	0.005447819475136088	0.05531485335484867	0.04086281774162129
non-clustered_del_1Mb-10Mb	0.025022242887406676	0.03133182981509823	0.06787142226513858	0.06552711978595786
non-clustered_del_>10Mb	0.7504713478386402	0.43644258576312883	0.44454567154709956	0.1944492942547878
non-clustered_tds_1-10Kb	0.003414386332514484	0.005836263719234588	0.010544036267807998	0.009218859188654624
non-clustered_tds_10-100Kb	0.021114673926965175	0.005761255447340609	0.016241750856314872	0.006866164222597378
non-clustered_tds_100Kb-1Mb	0.004042828188745106	0.02322267940061976	0.013008911689907685	0.024884446304161853
non-clustered_tds_1Mb-10Mb	0.008355687305645716	0.010217973535990845	0.02365305384499409	0.019476031596941182
non-clustered_tds_>10Mb	0.03349367961212303	0.16238911736571465	0.0110838927976332	0.031725285752539675
non-clustered_inv_1-10Kb	5.73888403505407e-06	5.377133573347237e-06	5.535353471714188e-06	5.538191318464669e-06
non-clustered_inv_10-100Kb	5.73888403505407e-06	5.377133573347237e-06	5.535353471714188e-06	5.538191318464669e-06
non-clustered_inv_100Kb-1Mb	5.73888403505407e-06	5.377133573347237e-06	5.535353471714188e-06	5.538191318464669e-06
non-clustered_inv_1Mb-10Mb	5.73888403505407e-06	5.377133573347237e-06	5.535353471714188e-06	5.538191318464669e-06
non-clustered_inv_>10Mb	5.73888403505407e-06	5.377133573347237e-06	5.535353471714188e-06	5.538191318464669e-06
non-clustered_trans	0.10142092753432144	0.19295552307965796	0.2856972092837095	0.525387738853693
