MutationType	SV32A	SV32B	SV32C	SV32D
clustered_del_1-10Kb	2.10E-08	2.48E-08	2.47E-08	2.80E-08
clustered_del_10-100Kb	2.10E-08	2.48E-08	2.47E-08	2.80E-08
clustered_del_100Kb-1Mb	2.10E-08	2.48E-08	2.47E-08	2.80E-08
clustered_del_1Mb-10Mb	2.10E-08	2.48E-08	2.47E-08	2.80E-08
clustered_del_>10Mb	2.10E-08	2.48E-08	2.47E-08	2.80E-08
clustered_tds_1-10Kb	2.10E-08	2.48E-08	2.47E-08	2.80E-08
clustered_tds_10-100Kb	2.10E-08	2.48E-08	2.47E-08	2.80E-08
clustered_tds_100Kb-1Mb	2.10E-08	2.48E-08	2.47E-08	2.80E-08
clustered_tds_1Mb-10Mb	2.10E-08	2.48E-08	2.47E-08	2.80E-08
clustered_tds_>10Mb	2.10E-08	2.48E-08	2.47E-08	2.80E-08
clustered_inv_1-10Kb	2.10E-08	2.48E-08	2.47E-08	2.80E-08
clustered_inv_10-100Kb	2.10E-08	2.48E-08	2.47E-08	2.80E-08
clustered_inv_100Kb-1Mb	2.10E-08	2.48E-08	2.47E-08	2.80E-08
clustered_inv_1Mb-10Mb	2.10E-08	2.48E-08	2.47E-08	2.80E-08
clustered_inv_>10Mb	2.10E-08	2.48E-08	2.47E-08	2.80E-08
clustered_trans	2.10E-08	2.48E-08	2.47E-08	2.80E-08
non-clustered_del_1-10Kb	1.40E-03	1.79E-03	2.89E-03	2.89E-03
non-clustered_del_10-100Kb	2.57E-03	5.10E-03	2.85E-03	3.17E-03
non-clustered_del_100Kb-1Mb	1.64E-03	1.07E-03	3.14E-03	3.20E-03
non-clustered_del_1Mb-10Mb	2.73E-03	2.86E-03	4.26E-03	4.04E-03
non-clustered_del_>10Mb	5.59E-03	7.64E-03	6.95E-03	6.52E-03
non-clustered_tds_1-10Kb	6.60E-04	1.04E-03	1.01E-03	1.09E-03
non-clustered_tds_10-100Kb	1.60E-03	8.51E-04	1.59E-03	1.01E-03
non-clustered_tds_100Kb-1Mb	1.13E-03	1.84E-03	1.69E-03	2.33E-03
non-clustered_tds_1Mb-10Mb	1.23E-03	1.45E-03	2.14E-03	1.77E-03
non-clustered_tds_>10Mb	2.58E-03	5.60E-03	1.54E-03	3.65E-03
non-clustered_inv_1-10Kb	2.10E-08	2.48E-08	2.47E-08	2.80E-08
non-clustered_inv_10-100Kb	2.10E-08	2.48E-08	2.47E-08	2.80E-08
non-clustered_inv_100Kb-1Mb	2.10E-08	2.48E-08	2.47E-08	2.80E-08
non-clustered_inv_1Mb-10Mb	2.10E-08	2.48E-08	2.47E-08	2.80E-08
non-clustered_inv_>10Mb	2.10E-08	2.48E-08	2.47E-08	2.80E-08
non-clustered_trans	3.68E-03	4.99E-03	5.66E-03	6.70E-03
