NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	4.183	24.066	2.079	19.962	0.094	0.982	3000.0
2	3.401	19.18	1.711	15.901	0.082	0.98	3000.0
3	5.011	27.325	2.328	21.775	0.098	0.974	4000.0
4	4.313	24.013	2.009	18.052	0.1	0.983	18000.0
5	4.027	22.694	2.013	18.597	0.085	0.981	2000.0
6	4.444	25.608	2.197	20.62	0.094	0.979	4000.0
7	4.453	24.896	2.234	21.087	0.082	0.973	4000.0
8	4.243	23.823	1.94	18.57	0.111	0.98	2000.0
9	4.288	24.091	2.095	18.663	0.094	0.986	2000.0
10	4.403	25.044	2.101	19.069	0.114	0.983	4000.0
11	3.649	20.95	1.757	15.192	0.086	0.988	3000.0
12	4.166	23.918	2.122	20.425	0.09	0.978	2000.0
13	3.798	21.367	1.807	15.943	0.095	0.988	3000.0
14	5.68	31.486	2.842	26.598	0.134	0.951	3000.0
15	4.328	24.164	2.004	18.498	0.092	0.982	2000.0
16	4.174	23.336	2.027	18.805	0.099	0.98	3000.0
17	3.388	19.33	1.543	13.723	0.106	0.988	4000.0
18	2.684	15.021	1.35	12.635	0.053	0.99	4000.0
19	4.889	27.414	2.19	20.79	0.131	0.976	3000.0
20	3.907	21.779	2.029	19.487	0.073	0.975	3000.0
21	4.594	25.937	2.396	21.487	0.106	0.978	4000.0
22	4.944	27.644	2.31	21.814	0.142	0.971	2000.0
23	4.07	23.565	2.076	20.251	0.092	0.973	2000.0
24	4.401	24.801	2.017	19.485	0.106	0.981	3000.0
25	3.489	19.513	1.833	16.6	0.063	0.987	4000.0
26	2.245	12.527	1.096	8.812	0.06	0.996	2000.0
27	2.957	16.435	1.606	15.134	0.06	0.982	6000.0
28	3.275	18.425	1.837	15.49	0.095	0.99	2000.0
29	4.419	25.0	2.14	20.705	0.115	0.976	3000.0
30	3.691	20.551	1.742	16.036	0.082	0.986	3000.0
31	3.705	20.913	1.972	18.78	0.063	0.976	3000.0
32	4.895	27.614	2.335	21.079	0.121	0.979	2000.0
33	4.431	24.849	2.113	19.313	0.113	0.978	4000.0
34	4.198	23.559	1.868	17.212	0.116	0.981	3000.0
35	3.553	19.679	1.787	15.546	0.072	0.986	37000.0
36	3.206	17.891	1.622	14.188	0.085	0.988	22000.0
37	4.141	23.535	2.028	19.874	0.072	0.972	3000.0
38	3.672	21.229	1.789	16.453	0.075	0.986	2000.0
39	2.711	15.764	1.23	11.792	0.062	0.992	3000.0
40	3.974	22.218	1.87	18.06	0.092	0.98	2000.0
41	3.176	17.493	1.487	13.1	0.078	0.988	4000.0
42	4.767	27.022	2.255	20.227	0.115	0.976	3000.0
43	4.305	24.299	2.113	19.244	0.098	0.98	3000.0
44	2.745	15.161	1.374	12.589	0.065	0.989	2000.0
45	3.697	21.323	1.94	17.992	0.071	0.982	2000.0
46	4.337	24.575	2.082	18.439	0.104	0.982	3000.0
47	4.756	26.643	2.261	20.281	0.098	0.978	4000.0
48	4.172	23.073	2.005	18.208	0.072	0.981	5000.0
49	4.487	25.495	2.217	20.272	0.107	0.98	3000.0
50	4.759	26.823	2.251	20.141	0.138	0.979	4000.0
51	3.832	21.354	1.93	17.062	0.1	0.984	3000.0
52	4.566	26.175	2.119	20.289	0.115	0.978	2000.0
53	4.19	23.302	2.31	20.655	0.104	0.975	32000.0
54	3.929	22.151	1.921	18.072	0.103	0.98	2000.0
55	2.644	14.81	1.412	13.005	0.049	0.99	3000.0
56	4.389	24.016	1.917	18.286	0.121	0.978	3000.0
57	3.087	17.56	1.441	13.039	0.081	0.992	4000.0
58	4.369	24.19	2.115	19.076	0.107	0.981	11000.0
59	2.914	16.531	1.631	13.713	0.046	0.989	3000.0
60	4.481	24.536	2.167	21.142	0.109	0.97	2000.0
61	5.335	30.107	2.582	26.205	0.141	0.956	5000.0
62	3.742	20.905	1.851	17.121	0.079	0.985	3000.0
63	4.129	23.094	1.988	18.485	0.082	0.985	4000.0
64	4.003	22.823	1.859	17.291	0.107	0.984	4000.0
65	4.213	23.549	1.961	19.475	0.105	0.978	3000.0
66	3.102	17.604	1.529	14.112	0.064	0.987	2000.0
67	4.041	23.259	1.989	19.415	0.087	0.977	4000.0
68	4.108	23.164	1.928	17.213	0.115	0.986	3000.0
69	4.121	23.227	1.998	18.758	0.078	0.982	2000.0
70	3.351	18.431	1.815	15.061	0.057	0.988	3000.0
71	3.841	21.438	1.81	16.942	0.089	0.985	2000.0
72	3.129	17.575	1.596	13.93	0.084	0.99	3000.0
73	4.345	24.38	2.172	20.352	0.067	0.978	4000.0
74	3.706	20.479	1.889	16.814	0.075	0.983	4000.0
75	3.512	19.374	1.782	16.218	0.056	0.985	4000.0
76	3.915	22.158	1.865	17.243	0.088	0.983	3000.0
77	3.924	22.542	1.885	17.222	0.097	0.984	3000.0
78	4.955	27.861	2.415	23.484	0.12	0.971	2000.0
79	3.075	17.217	1.545	14.608	0.076	0.987	7000.0
80	3.169	17.592	1.517	13.761	0.058	0.99	3000.0
81	4.055	23.307	2.01	18.816	0.099	0.977	3000.0
82	4.646	25.376	2.233	20.776	0.112	0.968	2000.0
83	3.216	17.969	1.629	14.142	0.066	0.986	2000.0
84	3.555	19.868	1.734	15.921	0.065	0.985	9000.0
85	3.383	19.226	1.594	14.449	0.099	0.988	6000.0
86	2.583	14.556	1.241	11.657	0.058	0.991	2000.0
87	4.008	22.332	1.961	16.91	0.084	0.988	3000.0
88	4.334	24.598	2.08	19.778	0.103	0.978	2000.0
89	5.147	29.377	2.671	24.63	0.107	0.971	2000.0
90	4.919	27.794	2.514	23.012	0.097	0.969	2000.0
91	3.548	19.882	1.587	13.999	0.074	0.99	5000.0
92	3.311	18.839	1.694	15.511	0.097	0.985	3000.0
93	3.6	20.198	1.879	16.592	0.061	0.985	8000.0
