Samples	SV32A	SV32B	SV32C	SV32D	SV32E
Syntheticpatient1	1.59E-01	2.32E-01	1.55E-01	2.82E-01	1.97E-01
Syntheticpatient10	1.86E-01	2.16E-01	1.96E-01	2.19E-01	2.69E-01
Syntheticpatient2	2.46E-01	2.02E-01	1.08E-01	1.30E-01	2.14E-01
Syntheticpatient3	2.12E-01	2.68E-01	1.25E-01	1.92E-01	1.84E-01
Syntheticpatient4	1.71E-01	2.18E-01	2.67E-01	2.69E-01	2.87E-01
Syntheticpatient5	2.60E-01	3.18E-01	9.26E-02	1.93E-01	1.91E-01
Syntheticpatient6	2.71E-01	2.96E-01	2.16E-01	1.71E-01	3.31E-01
Syntheticpatient7	1.09E-01	8.21E-02	2.52E-01	1.67E-01	2.24E-01
Syntheticpatient8	2.64E-01	1.81E-01	1.75E-01	1.35E-01	3.01E-01
Syntheticpatient9	3.04E-01	2.24E-01	9.27E-02	1.54E-01	2.58E-01
