MutationType	SV32A	SV32B	SV32C	SV32D	SV32E
clustered_del_1-10Kb	5.819395763865032e-06	5.311599151127666e-06	5.702347492615445e-06	5.212093230738901e-06	5.515742471175144e-06
clustered_del_10-100Kb	5.819395763865032e-06	5.311599151127666e-06	5.702347492615445e-06	5.212093230738901e-06	5.515742471175144e-06
clustered_del_100Kb-1Mb	5.819395765684021e-06	5.311599151127666e-06	5.70234749352494e-06	5.212093230284154e-06	5.5157424693561555e-06
clustered_del_1Mb-10Mb	5.819395763865032e-06	5.311599151127666e-06	5.702347494434434e-06	5.212093231193649e-06	5.515742472084639e-06
clustered_del_>10Mb	5.819395765684021e-06	5.311599151127666e-06	5.70234749170595e-06	5.2120932298294065e-06	5.515742468446661e-06
clustered_tds_1-10Kb	5.819395763865032e-06	5.311599151127666e-06	5.70234749170595e-06	5.212093230738901e-06	5.5157424702656495e-06
clustered_tds_10-100Kb	5.819395765684021e-06	5.311599151127666e-06	5.70234749170595e-06	5.2120932298294065e-06	5.515742468446661e-06
clustered_tds_100Kb-1Mb	5.819395765684021e-06	5.311599151127666e-06	5.70234749170595e-06	5.2120932298294065e-06	5.515742468446661e-06
clustered_tds_1Mb-10Mb	5.819395763865032e-06	5.311599151127666e-06	5.702347494434434e-06	5.212093231193649e-06	5.515742472084639e-06
clustered_tds_>10Mb	5.819395763865032e-06	5.311599151127666e-06	5.70234749352494e-06	5.212093231193649e-06	5.515742471175144e-06
clustered_inv_1-10Kb	5.819395765684021e-06	5.311599151127666e-06	5.70234749170595e-06	5.2120932298294065e-06	5.515742468446661e-06
clustered_inv_10-100Kb	5.819395765684021e-06	5.311599151127666e-06	5.70234749170595e-06	5.2120932298294065e-06	5.515742468446661e-06
clustered_inv_100Kb-1Mb	5.819395763865032e-06	5.311599151127666e-06	5.702347492615445e-06	5.212093230738901e-06	5.515742471175144e-06
clustered_inv_1Mb-10Mb	5.819395763865032e-06	5.311599151127666e-06	5.702347494434434e-06	5.212093231193649e-06	5.515742472084639e-06
clustered_inv_>10Mb	5.819395763865032e-06	5.311599151127666e-06	5.70234749352494e-06	5.212093231193649e-06	5.515742471175144e-06
clustered_trans	5.819395765684021e-06	5.311599151127666e-06	5.70234749352494e-06	5.212093230284154e-06	5.5157424693561555e-06
non-clustered_del_1-10Kb	0.014020294570595488	0.018087741460775457	0.06045193086699886	0.020994226687060205	0.03845908685610488
non-clustered_del_10-100Kb	0.005844942101815077	0.13879458693637525	0.015085723058046181	0.08906743833645801	0.0165205457244785
non-clustered_del_100Kb-1Mb	0.01575230176372538	0.01396574050432484	0.054641011168186614	0.021206508339548628	0.04924898482072389
non-clustered_del_1Mb-10Mb	0.02239646597622962	0.028736643527717	0.056127057710329	0.05849408393566554	0.0758250009436622
non-clustered_del_>10Mb	0.7853741449713707	0.5464798725168537	0.16299136957912413	0.24268829361805705	0.4805903917798347
non-clustered_tds_1-10Kb	0.003175092663809503	0.005914711096183096	0.008590971787226325	0.011658255019844556	0.008287383129002695
non-clustered_tds_10-100Kb	0.022871729808701915	0.01421074992736217	0.007958791828088755	0.006535926265278675	0.016825246759610724
non-clustered_tds_100Kb-1Mb	0.0025775396637982223	0.010422359448341955	0.015940870839619196	0.04511403895764224	0.011710981671826944
non-clustered_tds_1Mb-10Mb	0.00781015857478731	0.015218346367128233	0.01838362465592825	0.017180274174502613	0.024212024872784
non-clustered_tds_>10Mb	0.034762606571367725	0.07660783183548303	0.006547472437261718	0.17819589545599154	0.01525412480569695
non-clustered_inv_1-10Kb	5.819395765684021e-06	5.311599151127666e-06	5.702347492615445e-06	5.2120932298294065e-06	5.5157424693561555e-06
non-clustered_inv_10-100Kb	5.819395765684021e-06	5.311599151127666e-06	5.702347494434434e-06	5.212093230284154e-06	5.5157424702656495e-06
non-clustered_inv_100Kb-1Mb	5.819395765684021e-06	5.311599151127666e-06	5.702347494434434e-06	5.212093230284154e-06	5.5157424702656495e-06
non-clustered_inv_1Mb-10Mb	5.819395765684021e-06	5.311599151127666e-06	5.70234749352494e-06	5.212093230284154e-06	5.5157424693561555e-06
non-clustered_inv_>10Mb	5.819395763865032e-06	5.311599151127666e-06	5.702347494434434e-06	5.212093231193649e-06	5.515742472084639e-06
non-clustered_trans	0.08529252566855475	0.13144986340409537	0.5931614284962415	0.3087556085681517	0.2629504017785386
