MutationType	SV32A	SV32B	SV32C	SV32D	SV32E
clustered_del_1-10Kb	2.37E-08	3.16E-08	3.49E-08	4.03E-08	3.02E-08
clustered_del_10-100Kb	2.37E-08	3.16E-08	3.49E-08	4.03E-08	3.02E-08
clustered_del_100Kb-1Mb	2.37E-08	3.16E-08	3.49E-08	4.03E-08	3.02E-08
clustered_del_1Mb-10Mb	2.37E-08	3.16E-08	3.49E-08	4.03E-08	3.02E-08
clustered_del_>10Mb	2.37E-08	3.16E-08	3.49E-08	4.03E-08	3.02E-08
clustered_tds_1-10Kb	2.37E-08	3.16E-08	3.49E-08	4.03E-08	3.02E-08
clustered_tds_10-100Kb	2.37E-08	3.16E-08	3.49E-08	4.03E-08	3.02E-08
clustered_tds_100Kb-1Mb	2.37E-08	3.16E-08	3.49E-08	4.03E-08	3.02E-08
clustered_tds_1Mb-10Mb	2.37E-08	3.16E-08	3.49E-08	4.03E-08	3.02E-08
clustered_tds_>10Mb	2.37E-08	3.16E-08	3.49E-08	4.03E-08	3.02E-08
clustered_inv_1-10Kb	2.37E-08	3.16E-08	3.49E-08	4.03E-08	3.02E-08
clustered_inv_10-100Kb	2.37E-08	3.16E-08	3.49E-08	4.03E-08	3.02E-08
clustered_inv_100Kb-1Mb	2.37E-08	3.16E-08	3.49E-08	4.03E-08	3.02E-08
clustered_inv_1Mb-10Mb	2.37E-08	3.16E-08	3.49E-08	4.03E-08	3.02E-08
clustered_inv_>10Mb	2.37E-08	3.16E-08	3.49E-08	4.03E-08	3.02E-08
clustered_trans	2.37E-08	3.16E-08	3.49E-08	4.03E-08	3.02E-08
non-clustered_del_1-10Kb	1.89E-03	2.29E-03	4.09E-03	2.56E-03	3.30E-03
non-clustered_del_10-100Kb	9.73E-04	6.20E-03	2.36E-03	6.25E-03	1.91E-03
non-clustered_del_100Kb-1Mb	2.03E-03	1.89E-03	4.10E-03	3.19E-03	3.46E-03
non-clustered_del_1Mb-10Mb	2.84E-03	2.94E-03	4.35E-03	4.53E-03	5.11E-03
non-clustered_del_>10Mb	5.72E-03	6.57E-03	6.35E-03	7.50E-03	6.69E-03
non-clustered_tds_1-10Kb	7.33E-04	9.30E-04	1.21E-03	1.62E-03	1.13E-03
non-clustered_tds_10-100Kb	1.99E-03	1.96E-03	1.26E-03	1.25E-03	1.81E-03
non-clustered_tds_100Kb-1Mb	7.86E-04	1.43E-03	2.01E-03	3.09E-03	1.60E-03
non-clustered_tds_1Mb-10Mb	1.31E-03	2.14E-03	2.05E-03	2.13E-03	2.57E-03
non-clustered_tds_>10Mb	3.28E-03	4.76E-03	1.46E-03	8.13E-03	2.00E-03
non-clustered_inv_1-10Kb	2.37E-08	3.16E-08	3.49E-08	4.03E-08	3.02E-08
non-clustered_inv_10-100Kb	2.37E-08	3.16E-08	3.49E-08	4.03E-08	3.02E-08
non-clustered_inv_100Kb-1Mb	2.37E-08	3.16E-08	3.49E-08	4.03E-08	3.02E-08
non-clustered_inv_1Mb-10Mb	2.37E-08	3.16E-08	3.49E-08	4.03E-08	3.02E-08
non-clustered_inv_>10Mb	2.37E-08	3.16E-08	3.49E-08	4.03E-08	3.02E-08
non-clustered_trans	3.60E-03	4.63E-03	7.88E-03	7.10E-03	5.04E-03
