Samples	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F
Syntheticpatient1	1.31E-01	2.39E-01	1.88E-01	1.57E-01	1.55E-01	2.51E-01
Syntheticpatient10	1.75E-01	1.93E-01	2.37E-01	1.77E-01	2.35E-01	1.86E-01
Syntheticpatient2	2.44E-01	2.04E-01	1.93E-01	9.63E-02	1.89E-01	1.03E-01
Syntheticpatient3	1.94E-01	2.53E-01	1.76E-01	1.06E-01	1.31E-01	1.84E-01
Syntheticpatient4	1.48E-01	1.82E-01	2.89E-01	2.38E-01	2.12E-01	2.40E-01
Syntheticpatient5	2.52E-01	2.82E-01	1.45E-01	6.67E-02	2.04E-01	1.71E-01
Syntheticpatient6	2.80E-01	1.82E-01	3.06E-01	1.68E-01	2.86E-01	1.45E-01
Syntheticpatient7	9.33E-02	5.31E-02	2.39E-01	2.47E-01	1.54E-01	1.33E-01
Syntheticpatient8	2.39E-01	9.30E-02	2.23E-01	1.54E-01	2.98E-01	7.96E-02
Syntheticpatient9	3.02E-01	2.32E-01	1.96E-01	7.47E-02	2.27E-01	1.06E-01
