MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F
clustered_del_1-10Kb	5.743713583342469e-06	5.4193601174574725e-06	5.42480972399062e-06	5.7740850379559565e-06	5.524261465836844e-06	5.01409538614439e-06
clustered_del_10-100Kb	5.743713583342469e-06	5.419360119276461e-06	5.424809723081125e-06	5.7740850379559565e-06	5.5242614672010855e-06	5.01409538614439e-06
clustered_del_100Kb-1Mb	5.7437135824329745e-06	5.41936011791222e-06	5.4248097221716305e-06	5.7740850379559565e-06	5.5242614662915915e-06	5.0140953852348954e-06
clustered_del_1Mb-10Mb	5.7437135824329745e-06	5.4193601174574725e-06	5.424809723081125e-06	5.7740850388654505e-06	5.52426146811058e-06	5.01409538614439e-06
clustered_del_>10Mb	5.743713583342469e-06	5.419360119276461e-06	5.424809723081125e-06	5.774085037046462e-06	5.5242614672010855e-06	5.0140953852348954e-06
clustered_tds_1-10Kb	5.743713583342469e-06	5.41936011791222e-06	5.424809723081125e-06	5.7740850379559565e-06	5.524261464017854e-06	5.01409538614439e-06
clustered_tds_10-100Kb	5.7437135824329745e-06	5.41936011791222e-06	5.4248097221716305e-06	5.7740850379559565e-06	5.5242614662915915e-06	5.0140953852348954e-06
clustered_tds_100Kb-1Mb	5.7437135824329745e-06	5.4193601174574725e-06	5.424809723081125e-06	5.7740850379559565e-06	5.52426146811058e-06	5.0140953852348954e-06
clustered_tds_1Mb-10Mb	5.743713583342469e-06	5.419360119276461e-06	5.424809723081125e-06	5.7740850379559565e-06	5.5242614672010855e-06	5.01409538614439e-06
clustered_tds_>10Mb	5.7437135824329745e-06	5.41936011791222e-06	5.4248097221716305e-06	5.7740850379559565e-06	5.5242614662915915e-06	5.0140953852348954e-06
clustered_inv_1-10Kb	5.7437135824329745e-06	5.41936011791222e-06	5.4248097221716305e-06	5.7740850388654505e-06	5.5242614662915915e-06	5.01409538614439e-06
clustered_inv_10-100Kb	5.7437135824329745e-06	5.4193601174574725e-06	5.424809723081125e-06	5.7740850388654505e-06	5.52426146811058e-06	5.01409538614439e-06
clustered_inv_100Kb-1Mb	5.743713583342469e-06	5.419360119276461e-06	5.424809723081125e-06	5.774085037046462e-06	5.5242614672010855e-06	5.0140953852348954e-06
clustered_inv_1Mb-10Mb	5.7437135824329745e-06	5.41936011791222e-06	5.4248097221716305e-06	5.7740850388654505e-06	5.5242614662915915e-06	5.01409538614439e-06
clustered_inv_>10Mb	5.743713583342469e-06	5.4193601174574725e-06	5.42480972399062e-06	5.7740850379559565e-06	5.524261465836844e-06	5.01409538614439e-06
clustered_trans	5.7437135824329745e-06	5.41936011791222e-06	5.4248097221716305e-06	5.7740850388654505e-06	5.5242614662915915e-06	5.01409538614439e-06
non-clustered_del_1-10Kb	0.021060853414153508	0.009270677782504937	0.055628611112159165	0.06379953496188388	0.02757451565154874	0.015483534605931487
non-clustered_del_10-100Kb	0.013283842566124134	0.12267905693766032	0.021334030132570073	0.01690960373419098	0.012367155073067586	0.1411235093595663
non-clustered_del_100Kb-1Mb	0.014187652340243356	0.004796208060028667	0.04023399282981522	0.057832806041089826	0.057920288237668774	0.014836985661526705
non-clustered_del_1Mb-10Mb	0.010503721913506287	0.01680932227666903	0.028895190697260122	0.061629695750072246	0.11888539016300101	0.06555160700604318
non-clustered_del_>10Mb	0.7964932837635279	0.5637876417824765	0.4013779032486069	0.12159502021709531	0.5436680592461691	0.18458484710212766
non-clustered_tds_1-10Kb	0.002213046926484195	0.004705612818770646	0.008723656913147778	0.010562561823075413	0.012034693884302616	0.012668526032293497
non-clustered_tds_10-100Kb	0.031647793461946995	0.006509990184334199	0.02015149296423895	0.0032049252328097823	0.017662321082339744	0.007647911567355791
non-clustered_tds_100Kb-1Mb	0.001866820515197159	0.011994809276608103	0.01828040416146259	0.0141951060722376	0.007921632695716796	0.05117010239568457
non-clustered_tds_1Mb-10Mb	0.013185471946434362	0.00683938435411857	0.03311285113877902	0.0159696352792284	0.015126522558284129	0.018824954117807487
non-clustered_tds_>10Mb	0.01988901692818745	0.14298856733681112	0.020587505638825634	0.01040951178382972	0.012397300874581007	0.16590529734122447
non-clustered_inv_1-10Kb	5.7437135824329745e-06	5.41936011791222e-06	5.4248097221716305e-06	5.7740850379559565e-06	5.5242614662915915e-06	5.0140953852348954e-06
non-clustered_inv_10-100Kb	5.743713583342469e-06	5.41936011791222e-06	5.424809723081125e-06	5.7740850379559565e-06	5.524261464017854e-06	5.01409538614439e-06
non-clustered_inv_100Kb-1Mb	5.743713583342469e-06	5.419360119731209e-06	5.4248097221716305e-06	5.774085037046462e-06	5.524261465382097e-06	5.0140953852348954e-06
non-clustered_inv_1Mb-10Mb	5.743713583342469e-06	5.419360119276461e-06	5.424809723081125e-06	5.774085037046462e-06	5.5242614672010855e-06	5.0140953852348954e-06
non-clustered_inv_>10Mb	5.743713584251963e-06	5.419360119731209e-06	5.424809723081125e-06	5.774085037046462e-06	5.5242614631083595e-06	5.01409538614439e-06
non-clustered_trans	0.07554787051450094	0.10950493107772596	0.3515604419820011	0.6237703449726105	0.17432610288188835	0.32209742713633976
