MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F
clustered_del_1-10Kb	3.30E-08	3.95E-08	4.18E-08	4.41E-08	3.98E-08	5.98E-08
clustered_del_10-100Kb	3.30E-08	3.95E-08	4.18E-08	4.41E-08	3.98E-08	5.98E-08
clustered_del_100Kb-1Mb	3.30E-08	3.95E-08	4.18E-08	4.41E-08	3.98E-08	5.98E-08
clustered_del_1Mb-10Mb	3.30E-08	3.95E-08	4.18E-08	4.41E-08	3.98E-08	5.98E-08
clustered_del_>10Mb	3.30E-08	3.95E-08	4.18E-08	4.41E-08	3.98E-08	5.98E-08
clustered_tds_1-10Kb	3.30E-08	3.95E-08	4.18E-08	4.41E-08	3.98E-08	5.98E-08
clustered_tds_10-100Kb	3.30E-08	3.95E-08	4.18E-08	4.41E-08	3.98E-08	5.98E-08
clustered_tds_100Kb-1Mb	3.30E-08	3.95E-08	4.18E-08	4.41E-08	3.98E-08	5.98E-08
clustered_tds_1Mb-10Mb	3.30E-08	3.95E-08	4.18E-08	4.41E-08	3.98E-08	5.98E-08
clustered_tds_>10Mb	3.30E-08	3.95E-08	4.18E-08	4.41E-08	3.98E-08	5.98E-08
clustered_inv_1-10Kb	3.30E-08	3.95E-08	4.18E-08	4.41E-08	3.98E-08	5.98E-08
clustered_inv_10-100Kb	3.30E-08	3.95E-08	4.18E-08	4.41E-08	3.98E-08	5.98E-08
clustered_inv_100Kb-1Mb	3.30E-08	3.95E-08	4.18E-08	4.41E-08	3.98E-08	5.98E-08
clustered_inv_1Mb-10Mb	3.30E-08	3.95E-08	4.18E-08	4.41E-08	3.98E-08	5.98E-08
clustered_inv_>10Mb	3.30E-08	3.95E-08	4.18E-08	4.41E-08	3.98E-08	5.98E-08
clustered_trans	3.30E-08	3.95E-08	4.18E-08	4.41E-08	3.98E-08	5.98E-08
non-clustered_del_1-10Kb	2.78E-03	1.79E-03	4.41E-03	4.83E-03	3.14E-03	2.86E-03
non-clustered_del_10-100Kb	2.11E-03	6.10E-03	2.44E-03	2.32E-03	1.67E-03	8.88E-03
non-clustered_del_100Kb-1Mb	1.95E-03	1.14E-03	3.62E-03	4.73E-03	4.19E-03	2.69E-03
non-clustered_del_1Mb-10Mb	1.84E-03	2.16E-03	2.82E-03	5.00E-03	7.22E-03	6.10E-03
non-clustered_del_>10Mb	6.58E-03	7.45E-03	6.96E-03	5.99E-03	7.34E-03	7.19E-03
non-clustered_tds_1-10Kb	5.84E-04	8.96E-04	1.34E-03	1.45E-03	1.68E-03	2.07E-03
non-clustered_tds_10-100Kb	2.59E-03	1.24E-03	2.15E-03	6.88E-04	2.05E-03	2.39E-03
non-clustered_tds_100Kb-1Mb	6.81E-04	1.83E-03	2.12E-03	1.93E-03	1.59E-03	3.86E-03
non-clustered_tds_1Mb-10Mb	2.51E-03	1.40E-03	2.99E-03	2.09E-03	2.10E-03	2.61E-03
non-clustered_tds_>10Mb	2.26E-03	6.95E-03	2.57E-03	1.95E-03	1.86E-03	8.94E-03
non-clustered_inv_1-10Kb	3.30E-08	3.95E-08	4.18E-08	4.41E-08	3.98E-08	5.98E-08
non-clustered_inv_10-100Kb	3.30E-08	3.95E-08	4.18E-08	4.41E-08	3.98E-08	5.98E-08
non-clustered_inv_100Kb-1Mb	3.30E-08	3.95E-08	4.18E-08	4.41E-08	3.98E-08	5.98E-08
non-clustered_inv_1Mb-10Mb	3.30E-08	3.95E-08	4.18E-08	4.41E-08	3.98E-08	5.98E-08
non-clustered_inv_>10Mb	3.30E-08	3.95E-08	4.18E-08	4.41E-08	3.98E-08	5.98E-08
non-clustered_trans	3.55E-03	4.38E-03	6.32E-03	8.40E-03	5.17E-03	7.90E-03
