Samples	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G
Syntheticpatient1	1.12E-01	2.22E-01	1.20E-01	1.31E-01	1.89E-01	2.42E-01	1.46E-01
Syntheticpatient10	1.82E-01	1.75E-01	2.16E-01	1.54E-01	1.77E-01	1.55E-01	2.33E-01
Syntheticpatient2	2.21E-01	2.26E-01	2.08E-01	9.49E-02	5.77E-02	7.80E-02	1.46E-01
Syntheticpatient3	1.69E-01	1.92E-01	1.45E-01	1.13E-01	2.33E-01	1.06E-01	1.52E-01
Syntheticpatient4	1.41E-01	1.67E-01	1.87E-01	2.03E-01	1.80E-01	2.36E-01	2.79E-01
Syntheticpatient5	2.29E-01	2.55E-01	1.38E-01	6.55E-02	2.51E-01	1.29E-01	1.05E-01
Syntheticpatient6	2.19E-01	1.87E-01	3.11E-01	1.59E-01	1.78E-01	9.20E-02	2.44E-01
Syntheticpatient7	1.05E-01	6.88E-02	1.58E-01	2.39E-01	3.80E-02	1.49E-01	2.41E-01
Syntheticpatient8	2.51E-01	1.33E-01	2.49E-01	1.22E-01	5.21E-02	1.21E-01	1.97E-01
Syntheticpatient9	2.68E-01	2.84E-01	2.49E-01	7.26E-02	7.22E-02	1.06E-01	1.48E-01
