MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G
clustered_del_1-10Kb	5.684317261966498e-06	5.699082391430466e-06	5.494382190438074e-06	5.8324530146561995e-06	4.82981563697026e-06	5.088595337524208e-06	5.562788695442578e-06
clustered_del_10-100Kb	5.684317261966498e-06	5.6990823909757185e-06	5.4943821922570635e-06	5.8324530323913465e-06	4.8298155849638605e-06	5.0885953045933514e-06	5.562788699080556e-06
clustered_del_100Kb-1Mb	5.684317271061445e-06	5.69908236323613e-06	5.494382178614643e-06	5.83245303693882e-06	4.829815656073866e-06	5.088595218246833e-06	5.562788730003376e-06
clustered_del_1Mb-10Mb	5.684317268332961e-06	5.699082380061782e-06	5.4943821858906004e-06	5.832453024205894e-06	4.829815646507083e-06	5.088595283813755e-06	5.5627887054470194e-06
clustered_del_>10Mb	5.684317270151951e-06	5.6990823836997605e-06	5.4943821858906004e-06	5.83245301965842e-06	4.82981564615047e-06	5.08859529632571e-06	5.562788704537525e-06
clustered_tds_1-10Kb	5.6843172674234665e-06	5.699082372331077e-06	5.494382184981106e-06	5.832453024660641e-06	4.829815674412041e-06	5.088595256459597e-06	5.562788730003376e-06
clustered_tds_10-100Kb	5.684317268332961e-06	5.699082356869667e-06	5.494382173157675e-06	5.832453045124272e-06	4.829815676582598e-06	5.088595180902123e-06	5.562788748193271e-06
clustered_tds_100Kb-1Mb	5.684317270151951e-06	5.699082358233909e-06	5.494382178159896e-06	5.832453026934378e-06	4.829815707144543e-06	5.088595227050796e-06	5.562788732731861e-06
clustered_tds_1Mb-10Mb	5.684317276518413e-06	5.69908237005734e-06	5.494382179524137e-06	5.832453011927716e-06	4.829815736852135e-06	5.0885952744304345e-06	5.562788715451461e-06
clustered_tds_>10Mb	5.684317268332961e-06	5.6990823909757185e-06	5.494382186800095e-06	5.832453013291957e-06	4.8298156498635054e-06	5.088595319034942e-06	5.562788697261567e-06
clustered_inv_1-10Kb	5.684317266513972e-06	5.6990823877924865e-06	5.494382185435853e-06	5.83245301965842e-06	4.829815652262674e-06	5.0885953025144564e-06	5.562788699990051e-06
clustered_inv_10-100Kb	5.684317268332961e-06	5.699082386428245e-06	5.494382184526358e-06	5.8324530219321574e-06	4.829815654269938e-06	5.088595303629804e-06	5.5627887118134825e-06
clustered_inv_100Kb-1Mb	5.684317270151951e-06	5.699082371876329e-06	5.494382181343127e-06	5.832453027389126e-06	4.829815667395479e-06	5.088595250849103e-06	5.562788722727419e-06
clustered_inv_1Mb-10Mb	5.684317265604477e-06	5.699082374150066e-06	5.494382184981106e-06	5.832453023296399e-06	4.82981566141824e-06	5.0885952703286165e-06	5.562788713632471e-06
clustered_inv_>10Mb	5.684317266513972e-06	5.699082392794707e-06	5.494382189528579e-06	5.8324530146561995e-06	4.829815647005769e-06	5.088595336005959e-06	5.562788689076115e-06
clustered_trans	5.684317269242456e-06	5.699082382335518e-06	5.494382184981106e-06	5.832453026934378e-06	4.829815635089984e-06	5.088595286134112e-06	5.5627887118134825e-06
non-clustered_del_1-10Kb	0.009007757521708777	0.015548051715747371	0.050957258463026935	0.07098310319391851	0.005685712774274372	0.018196746907604623	0.06237316936545716
non-clustered_del_10-100Kb	0.005065779920911447	0.012621287462254832	0.012389904118942087	0.020729819948440156	0.3002983377954259	0.03064215181501039	0.013624153875115848
non-clustered_del_100Kb-1Mb	0.027982480654957405	0.0018299620527014084	0.05475944607021225	0.055657639603351045	0.011569674945656366	0.01845906434489593	0.055533111929564984
non-clustered_del_1Mb-10Mb	0.08078745605962179	0.011850858730574176	0.03017850510609513	0.03932385850669801	0.025981151266422517	0.1273065572726799	0.0475172446870669
non-clustered_del_>10Mb	0.7856908054209197	0.6533188500471347	0.5462043056053317	0.1027600544843311	0.39979727844171803	0.16073698478711662	0.3477801575840498
non-clustered_tds_1-10Kb	0.004886419751475739	0.005435106150313922	0.01122416904892354	0.006898124974369261	0.005993748426107608	0.011519017424650873	0.014116468754961232
non-clustered_tds_10-100Kb	0.0120887694852542	0.022463513498039284	0.04139915663416764	0.007580130923629436	0.00518385387740147	0.004762998454313141	0.011931710131652399
non-clustered_tds_100Kb-1Mb	0.002517561513904135	0.012135947158000385	0.007081212629949107	0.01154854399902051	0.018261143261323304	0.061962697788488966	0.017148829594482193
non-clustered_tds_1Mb-10Mb	0.006603293287081516	0.005411743358151991	0.026359544802379887	0.018564346994245386	0.0149167895905018	0.021937506549954647	0.027155033808042243
non-clustered_tds_>10Mb	0.004148209462016375	0.16554133897747422	0.01031532057510836	0.005727993884490942	0.05389971244100023	0.1855072774128306	0.01081396044187264
non-clustered_inv_1-10Kb	5.684317269242456e-06	5.699082372785824e-06	5.494382184071612e-06	5.832453026024883e-06	4.829815657846669e-06	5.088595255754745e-06	5.562788725455903e-06
non-clustered_inv_10-100Kb	5.68431727197094e-06	5.699082378242792e-06	5.494382185435853e-06	5.832453024660641e-06	4.829815652967683e-06	5.0885952789593596e-06	5.5627887118134825e-06
non-clustered_inv_100Kb-1Mb	5.684317271061445e-06	5.6990823909757185e-06	5.494382184981106e-06	5.832453018294178e-06	4.829815660456345e-06	5.088595319543797e-06	5.5627886981710615e-06
non-clustered_inv_1Mb-10Mb	5.684317271061445e-06	5.699082384609255e-06	5.494382184981106e-06	5.832453023296399e-06	4.829815650947048e-06	5.0885952861985775e-06	5.562788707266008e-06
non-clustered_inv_>10Mb	5.684317269242456e-06	5.699082382335518e-06	5.494382185435853e-06	5.832453024205894e-06	4.829815643146428e-06	5.088595286115797e-06	5.5627887118134825e-06
non-clustered_trans	0.06110210421260301	0.09372365815666471	0.20901579310678084	0.6601039006263018	0.1583111728674094	0.3588621326651453	0.3918893472353006
