MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G
clustered_del_1-10Kb	4.12E-08	4.37E-08	4.67E-08	7.45E-08	6.31E-08	6.95E-08	5.24E-08
clustered_del_10-100Kb	4.12E-08	4.37E-08	4.67E-08	7.45E-08	6.31E-08	6.95E-08	5.24E-08
clustered_del_100Kb-1Mb	4.12E-08	4.37E-08	4.67E-08	7.45E-08	6.31E-08	6.95E-08	5.24E-08
clustered_del_1Mb-10Mb	4.12E-08	4.37E-08	4.67E-08	7.45E-08	6.31E-08	6.95E-08	5.24E-08
clustered_del_>10Mb	4.12E-08	4.37E-08	4.67E-08	7.45E-08	6.31E-08	6.95E-08	5.24E-08
clustered_tds_1-10Kb	4.12E-08	4.37E-08	4.67E-08	7.45E-08	6.31E-08	6.95E-08	5.24E-08
clustered_tds_10-100Kb	4.12E-08	4.37E-08	4.67E-08	7.45E-08	6.31E-08	6.95E-08	5.24E-08
clustered_tds_100Kb-1Mb	4.12E-08	4.37E-08	4.67E-08	7.45E-08	6.31E-08	6.95E-08	5.24E-08
clustered_tds_1Mb-10Mb	4.12E-08	4.37E-08	4.67E-08	7.45E-08	6.31E-08	6.95E-08	5.24E-08
clustered_tds_>10Mb	4.12E-08	4.37E-08	4.67E-08	7.45E-08	6.31E-08	6.95E-08	5.24E-08
clustered_inv_1-10Kb	4.12E-08	4.37E-08	4.67E-08	7.45E-08	6.31E-08	6.95E-08	5.24E-08
clustered_inv_10-100Kb	4.12E-08	4.37E-08	4.67E-08	7.45E-08	6.31E-08	6.95E-08	5.24E-08
clustered_inv_100Kb-1Mb	4.12E-08	4.37E-08	4.67E-08	7.45E-08	6.31E-08	6.95E-08	5.24E-08
clustered_inv_1Mb-10Mb	4.12E-08	4.37E-08	4.67E-08	7.45E-08	6.31E-08	6.95E-08	5.24E-08
clustered_inv_>10Mb	4.12E-08	4.37E-08	4.67E-08	7.45E-08	6.31E-08	6.95E-08	5.24E-08
clustered_trans	4.12E-08	4.37E-08	4.67E-08	7.45E-08	6.31E-08	6.95E-08	5.24E-08
non-clustered_del_1-10Kb	1.76E-03	2.54E-03	4.71E-03	5.57E-03	1.29E-03	3.27E-03	5.40E-03
non-clustered_del_10-100Kb	1.18E-03	1.77E-03	1.55E-03	2.94E-03	9.03E-03	3.19E-03	1.75E-03
non-clustered_del_100Kb-1Mb	3.35E-03	5.49E-04	4.50E-03	4.92E-03	2.69E-03	2.95E-03	5.32E-03
non-clustered_del_1Mb-10Mb	6.38E-03	1.80E-03	3.24E-03	3.90E-03	3.42E-03	8.63E-03	4.86E-03
non-clustered_del_>10Mb	8.20E-03	8.43E-03	7.28E-03	5.35E-03	9.33E-03	6.57E-03	7.28E-03
non-clustered_tds_1-10Kb	1.09E-03	1.52E-03	1.70E-03	1.24E-03	1.18E-03	1.99E-03	1.81E-03
non-clustered_tds_10-100Kb	1.72E-03	2.36E-03	3.79E-03	1.75E-03	1.13E-03	1.50E-03	1.79E-03
non-clustered_tds_100Kb-1Mb	7.99E-04	2.00E-03	1.55E-03	1.98E-03	2.85E-03	4.23E-03	2.27E-03
non-clustered_tds_1Mb-10Mb	1.61E-03	1.05E-03	2.74E-03	2.49E-03	2.37E-03	3.05E-03	2.82E-03
non-clustered_tds_>10Mb	8.24E-04	7.34E-03	1.67E-03	1.37E-03	4.33E-03	9.77E-03	1.53E-03
non-clustered_inv_1-10Kb	4.12E-08	4.37E-08	4.67E-08	7.45E-08	6.31E-08	6.95E-08	5.24E-08
non-clustered_inv_10-100Kb	4.12E-08	4.37E-08	4.67E-08	7.45E-08	6.31E-08	6.95E-08	5.24E-08
non-clustered_inv_100Kb-1Mb	4.12E-08	4.37E-08	4.67E-08	7.45E-08	6.31E-08	6.95E-08	5.24E-08
non-clustered_inv_1Mb-10Mb	4.12E-08	4.37E-08	4.67E-08	7.45E-08	6.31E-08	6.95E-08	5.24E-08
non-clustered_inv_>10Mb	4.12E-08	4.37E-08	4.67E-08	7.45E-08	6.31E-08	6.95E-08	5.24E-08
non-clustered_trans	3.34E-03	4.36E-03	5.24E-03	8.61E-03	6.03E-03	8.33E-03	6.99E-03
