Samples	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H
Syntheticpatient1	1.23E-01	1.41E-01	1.33E-01	2.24E-01	1.02E-01	1.44E-01	1.36E-01	1.72E-01
Syntheticpatient10	1.39E-01	1.39E-01	1.96E-01	1.54E-01	1.57E-01	1.51E-01	2.09E-01	1.69E-01
Syntheticpatient2	2.17E-01	8.10E-02	1.34E-01	1.43E-01	2.19E-01	4.09E-02	1.35E-01	7.08E-02
Syntheticpatient3	1.84E-01	1.10E-01	1.05E-01	1.34E-01	1.38E-01	2.11E-01	1.42E-01	9.30E-02
Syntheticpatient4	1.40E-01	2.06E-01	1.56E-01	1.56E-01	1.76E-01	1.54E-01	2.39E-01	2.13E-01
Syntheticpatient5	2.22E-01	6.33E-02	1.81E-01	2.03E-01	1.31E-01	2.26E-01	1.04E-01	8.57E-02
Syntheticpatient6	2.04E-01	1.42E-01	1.70E-01	3.53E-02	2.78E-01	1.86E-01	2.31E-01	1.28E-01
Syntheticpatient7	7.09E-02	2.18E-01	1.20E-01	3.61E-02	1.21E-01	2.73E-02	2.05E-01	2.20E-01
Syntheticpatient8	1.98E-01	9.54E-02	2.64E-01	4.00E-02	1.55E-01	5.14E-02	1.75E-01	1.54E-01
Syntheticpatient9	2.66E-01	6.36E-02	1.70E-01	1.58E-01	2.45E-01	7.13E-02	1.59E-01	5.58E-02
