MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H
clustered_del_1-10Kb	5.967179740600681e-06	5.679057396226879e-06	5.2300960553004865e-06	5.39859795715596e-06	5.5717997631319345e-06	4.7921999242387055e-06	5.467145874370576e-06	5.4118569902182125e-06
clustered_del_10-100Kb	5.967207999200808e-06	5.679073496423558e-06	5.230081158118051e-06	5.3985905465782445e-06	5.571780353527345e-06	4.7922391907561765e-06	5.467128365881375e-06	5.411851604373596e-06
clustered_del_100Kb-1Mb	5.967193022820449e-06	5.67906752634683e-06	5.230088098586033e-06	5.3985913034850845e-06	5.571789848005437e-06	4.7922249698444875e-06	5.467133136402374e-06	5.4118524598470374e-06
clustered_del_1Mb-10Mb	5.967184612038823e-06	5.679063851065612e-06	5.230096732532755e-06	5.398595877635969e-06	5.571793755386522e-06	4.792209557546124e-06	5.4671410588350426e-06	5.4118487688477354e-06
clustered_del_>10Mb	5.967185910098705e-06	5.679072441329431e-06	5.230124176080735e-06	5.398588861126859e-06	5.571792873070081e-06	4.792180762507988e-06	5.46711219158251e-06	5.411829521409622e-06
clustered_tds_1-10Kb	5.967367310687033e-06	5.67914346299489e-06	5.2300236685031145e-06	5.398559932953891e-06	5.57172070018197e-06	4.792325729261032e-06	5.467059833778376e-06	5.411812494058771e-06
clustered_tds_10-100Kb	5.9671438029367256e-06	5.679021507074066e-06	5.2301298088087494e-06	5.3986165593372384e-06	5.571845609644299e-06	4.792073525495972e-06	5.467204508731491e-06	5.411870291864825e-06
clustered_tds_100Kb-1Mb	5.96722994911758e-06	5.679082368689158e-06	5.230083481081333e-06	5.39858980037812e-06	5.5717650887174845e-06	4.792244715243142e-06	5.467109560801396e-06	5.411844460777015e-06
clustered_tds_1Mb-10Mb	5.9672015257312695e-06	5.679072385532883e-06	5.2300843813676116e-06	5.39859578964282e-06	5.571784750003417e-06	4.792228626112667e-06	5.467133818437025e-06	5.411846822984544e-06
clustered_tds_>10Mb	5.967254103920183e-06	5.679096996424694e-06	5.230061254622374e-06	5.398580733872363e-06	5.571760770401113e-06	4.7922773440499765e-06	5.4671014571362895e-06	5.411838268088705e-06
clustered_inv_1-10Kb	5.9672099094183475e-06	5.67907465639287e-06	5.230078961063376e-06	5.3985909447497915e-06	5.57178044855533e-06	4.792241623916581e-06	5.46712749795869e-06	5.4118508219241485e-06
clustered_inv_10-100Kb	5.9671881853566865e-06	5.679081773293778e-06	5.230117234248849e-06	5.398599344685106e-06	5.57178190552321e-06	4.792204366801398e-06	5.467138276906674e-06	5.411795751980743e-06
clustered_inv_100Kb-1Mb	5.967287610513239e-06	5.6791118204076275e-06	5.2300492922659704e-06	5.398576450917561e-06	5.571744609028428e-06	4.792298814338843e-06	5.467093191435277e-06	5.411825708531513e-06
clustered_inv_1Mb-10Mb	5.967243920334653e-06	5.679093118284819e-06	5.230065410671978e-06	5.3985833975808385e-06	5.571760851708518e-06	4.792274948169385e-06	5.467114857177435e-06	5.411837916545706e-06
clustered_inv_>10Mb	5.967192441131975e-06	5.679065307931299e-06	5.230089192821981e-06	5.398591834569312e-06	5.57179261035401e-06	4.792217801271334e-06	5.4671283028765445e-06	5.411855348018064e-06
clustered_trans	5.967178974714216e-06	5.679058268765431e-06	5.230098812603716e-06	5.398601335287365e-06	5.571798215932233e-06	4.79219632647576e-06	5.4671537420090955e-06	5.4118530319695e-06
