Samples	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H	SV32I
Syntheticpatient1	1.09E-01	1.45E-01	1.48E-01	2.08E-01	1.25E-01	1.39E-01	1.18E-01	8.46E-02	1.46E-01
Syntheticpatient10	1.35E-01	1.41E-01	1.99E-01	1.32E-01	1.40E-01	1.78E-01	1.39E-01	1.65E-01	1.51E-01
Syntheticpatient2	1.94E-01	7.14E-02	1.10E-01	1.28E-01	4.40E-02	1.86E-02	1.54E-01	1.94E-01	9.91E-02
Syntheticpatient3	1.56E-01	1.05E-01	1.23E-01	1.24E-01	1.98E-01	2.91E-02	1.38E-01	1.27E-01	9.12E-02
Syntheticpatient4	1.20E-01	1.69E-01	2.13E-01	1.29E-01	1.32E-01	1.55E-01	1.27E-01	1.79E-01	2.26E-01
Syntheticpatient5	2.14E-01	7.72E-02	9.62E-02	1.86E-01	2.03E-01	1.25E-01	1.67E-01	9.48E-02	4.22E-02
Syntheticpatient6	1.58E-01	1.21E-01	2.10E-01	2.05E-02	1.24E-01	8.93E-02	2.32E-01	2.49E-01	1.54E-01
Syntheticpatient7	8.25E-02	2.00E-01	1.74E-01	1.81E-02	2.00E-03	1.46E-01	4.77E-02	1.24E-01	2.03E-01
Syntheticpatient8	1.94E-01	1.07E-01	1.57E-01	0.00E+00	3.42E-02	2.18E-01	1.60E-01	1.44E-01	8.36E-02
Syntheticpatient9	2.28E-01	6.98E-02	1.69E-01	1.45E-01	3.53E-02	4.27E-02	2.65E-01	1.66E-01	6.24E-02
