MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H	SV32I
clustered_del_1-10Kb	6.043736149145964e-06	5.793992827039253e-06	5.395982887833231e-06	5.327871589194647e-06	4.847158608785304e-06	4.906307292985173e-06	5.265834695416433e-06	5.712277521949309e-06	5.57456992001627e-06
clustered_del_10-100Kb	6.046251918980878e-06	5.794163802110508e-06	5.39149742178946e-06	5.33848202278899e-06	4.848355443428414e-06	4.904511623794345e-06	5.262035066203407e-06	5.712389744934039e-06	5.574942429527245e-06
clustered_del_100Kb-1Mb	6.046296311691382e-06	5.793478287156305e-06	5.393246958336096e-06	5.325092589926361e-06	4.8406727228214145e-06	4.904743558800599e-06	5.266449423277045e-06	5.732501349925163e-06	5.574617008672705e-06
clustered_del_1Mb-10Mb	6.058621112181729e-06	5.79536340771001e-06	5.3892149312811455e-06	5.338937869626489e-06	4.847073537425892e-06	4.893618299773304e-06	5.260586234735476e-06	5.722783385087964e-06	5.574693915930599e-06
clustered_del_>10Mb	6.047799669005479e-06	5.793599230278004e-06	5.393576659262322e-06	5.3270178533646064e-06	4.8435232559122406e-06	4.903858090887619e-06	5.265495428158793e-06	5.726290683655181e-06	5.5745891080559455e-06
clustered_tds_1-10Kb	6.045147593023643e-06	5.7948832624585276e-06	5.393846467283248e-06	5.3284937557817515e-06	4.8435441636155495e-06	4.904394158241074e-06	5.265063756987187e-06	5.723252453229548e-06	5.574267792915276e-06
clustered_tds_10-100Kb	6.042205742278104e-06	5.793807906882879e-06	5.392552070098145e-06	5.3338535754391024e-06	4.843949473079659e-06	4.9067027656440954e-06	5.264207415588464e-06	5.722163556744764e-06	5.5745335441152866e-06
clustered_tds_100Kb-1Mb	6.041469668860591e-06	5.789461969614808e-06	5.389693970364817e-06	5.345056655668579e-06	4.842691117102638e-06	4.908331744660897e-06	5.261826090481007e-06	5.727233637856653e-06	5.575457785495123e-06
clustered_tds_1Mb-10Mb	6.0550653282975934e-06	5.795194870245102e-06	5.391295289525644e-06	5.331733429909242e-06	4.84334000714e-06	4.895500635728082e-06	5.263457971679555e-06	5.7296136367941875e-06	5.5745981329901895e-06
clustered_tds_>10Mb	6.048447078904961e-06	5.794355812962087e-06	5.392503142837457e-06	5.334200421965441e-06	4.845694866796505e-06	4.902322158057372e-06	5.263265768394746e-06	5.719565008250687e-06	5.574487817737704e-06
clustered_inv_1-10Kb	6.050865936326904e-06	5.7933562444337075e-06	5.390393134066418e-06	5.337286790893759e-06	4.842923515857323e-06	4.901393793950685e-06	5.262329734630422e-06	5.729871881100496e-06	5.574341307218818e-06
clustered_inv_10-100Kb	6.04933692339258e-06	5.794460029648514e-06	5.397088197083732e-06	5.323432417661348e-06	4.84935903844755e-06	4.901637397491295e-06	5.266507309800347e-06	5.7108251439427806e-06	5.574589085835668e-06
clustered_inv_100Kb-1Mb	6.044939905009538e-06	5.7941511575619955e-06	5.3946523208114745e-06	5.3257072407328644e-06	4.844677047559125e-06	4.9041793024102995e-06	5.2663624089454e-06	5.7220945611184236e-06	5.574799055334262e-06
clustered_inv_1Mb-10Mb	6.049969886045095e-06	5.79389932313127e-06	5.390540955154677e-06	5.340788252640519e-06	4.846925979657917e-06	4.901530595156819e-06	5.261125565920694e-06	5.718633772017592e-06	5.574666281139531e-06
clustered_inv_>10Mb	6.050805365450624e-06	5.795086513821192e-06	5.38924380279826e-06	5.344114243080932e-06	4.847341030468361e-06	4.899675348583287e-06	5.25989123804952e-06	5.7173187497805735e-06	5.574765389295617e-06
clustered_trans	6.047119950281537e-06	5.793812264159787e-06	5.397211911393862e-06	5.325877282111322e-06	4.849865927186893e-06	4.903734354133971e-06	5.265946198813929e-06	5.708560215345158e-06	5.57466285025926e-06
non-clustered_del_1-10Kb	0.0097856549601317	0.018361400091601452	0.015542597823608697	0.004905063257127118	0.006521857492935715	0.005716653663403656	0.006122337978377795	0.10405401842852251	0.1295406979681504
non-clustered_del_10-100Kb	0.006223479156799906	0.01719753823132158	0.014917083168554914	0.027861763468658898	0.3771446487520518	0.013319903231822644	0.01781214469774554	0.014263673519458049	0.02045685934646099
non-clustered_del_100Kb-1Mb	0.00949144318663414	0.04499214826385777	0.06877788168589916	0.0017552976967940021	0.0065645796497757185	0.05631643354875591	0.021479125814808014	0.04908024365667575	0.03360136807557667
non-clustered_del_1Mb-10Mb	0.013949986596196711	0.047282661479034954	0.014065160143110957	0.022502167746414732	0.00934624635994018	0.31779317536973073	0.01042226942777377	0.007034503383750836	0.01989110500706368
non-clustered_del_>10Mb	0.8974104366898537	0.10301366693342509	0.39069465146064886	0.3624176526577975	0.3713231920451505	0.3425554188027909	0.6967689270526171	0.55276713156607	0.17459423354133155
non-clustered_tds_1-10Kb	0.0025285214380994054	0.008854347279367528	0.01603419218411609	0.008231644077971997	0.0042956732855827144	0.013154908527672808	0.005603653552052091	0.011612867133935645	0.00803035492157118
non-clustered_tds_10-100Kb	0.002975875937721752	0.00419164671899731	0.0231106246284658	0.003528205013285641	0.0064640062060654395	0.0027750810811647416	0.07620177858523926	0.017749629175955024	0.008755084950751049
non-clustered_tds_100Kb-1Mb	0.001951168400453259	0.019681707714437693	0.02148593881942308	0.03461823704279968	0.011830195116190755	0.017997155715226257	0.011219233597462006	0.008921973641995703	0.03535048636923449
non-clustered_tds_1Mb-10Mb	0.002497122006985061	0.009719962935856944	0.027451502695003065	0.006088032450600336	0.013506451432154136	0.005957431356227218	0.021314179930236817	0.030858870694768257	0.042343457388728946
non-clustered_tds_>10Mb	0.01916269155452032	0.01892331781808272	0.019249994750486332	0.37864055188239587	0.03818862454854296	0.011127497841105904	0.03485250079458437	0.01000095950290872	0.027049067274268
non-clustered_inv_1-10Kb	6.0483423263979104e-06	5.794528368060468e-06	5.392894347291019e-06	5.331865304853524e-06	4.845210886177927e-06	4.901229425194347e-06	5.264067773508317e-06	5.721543286847427e-06	5.57482265051301e-06
non-clustered_inv_10-100Kb	6.044241883915417e-06	5.7934718269546796e-06	5.390483904871291e-06	5.342481545955475e-06	4.845645343704771e-06	4.906231895264847e-06	5.261396844442397e-06	5.718243537041723e-06	5.574638244147913e-06
non-clustered_inv_100Kb-1Mb	6.057508627325197e-06	5.79589491503224e-06	5.396039694397059e-06	5.32694963957037e-06	4.850845034444604e-06	4.894576758301362e-06	5.264647923245193e-06	5.7094993878348125e-06	5.574624039362469e-06
non-clustered_inv_1Mb-10Mb	6.049412027494306e-06	5.793499154899622e-06	5.387273201000742e-06	5.350745330954646e-06	4.845036863461157e-06	4.902594076778356e-06	5.258121952388003e-06	5.722212248992053e-06	5.574707214218889e-06
