MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H	SV32I
clustered_del_1-10Kb	8.21E-08	9.74E-08	8.81E-08	9.58E-08	9.13E-08	9.75E-08	8.55E-08	9.84E-08	1.20E-07
clustered_del_10-100Kb	8.19E-08	9.74E-08	8.83E-08	9.54E-08	9.13E-08	9.74E-08	8.55E-08	9.84E-08	1.20E-07
clustered_del_100Kb-1Mb	8.18E-08	9.73E-08	8.82E-08	9.59E-08	9.17E-08	9.73E-08	8.55E-08	9.94E-08	1.20E-07
clustered_del_1Mb-10Mb	8.16E-08	9.74E-08	8.83E-08	9.57E-08	9.13E-08	9.72E-08	8.56E-08	9.81E-08	1.20E-07
clustered_del_>10Mb	8.17E-08	9.74E-08	8.82E-08	9.57E-08	9.15E-08	9.73E-08	8.55E-08	9.86E-08	1.20E-07
clustered_tds_1-10Kb	8.20E-08	9.74E-08	8.82E-08	9.57E-08	9.15E-08	9.75E-08	8.55E-08	9.86E-08	1.20E-07
clustered_tds_10-100Kb	8.23E-08	9.74E-08	8.82E-08	9.55E-08	9.14E-08	9.78E-08	8.55E-08	9.85E-08	1.20E-07
clustered_tds_100Kb-1Mb	8.23E-08	9.65E-08	8.81E-08	9.59E-08	9.16E-08	9.77E-08	8.55E-08	9.89E-08	1.20E-07
clustered_tds_1Mb-10Mb	8.15E-08	9.74E-08	8.82E-08	9.53E-08	9.15E-08	9.72E-08	8.55E-08	9.85E-08	1.20E-07
clustered_tds_>10Mb	8.17E-08	9.74E-08	8.82E-08	9.54E-08	9.14E-08	9.72E-08	8.55E-08	9.82E-08	1.20E-07
clustered_inv_1-10Kb	8.15E-08	9.73E-08	8.82E-08	9.54E-08	9.15E-08	9.72E-08	8.55E-08	9.87E-08	1.20E-07
clustered_inv_10-100Kb	8.16E-08	9.74E-08	8.81E-08	9.59E-08	9.13E-08	9.72E-08	8.55E-08	9.85E-08	1.20E-07
clustered_inv_100Kb-1Mb	8.20E-08	9.74E-08	8.82E-08	9.59E-08	9.14E-08	9.75E-08	8.55E-08	9.84E-08	1.20E-07
clustered_inv_1Mb-10Mb	8.16E-08	9.74E-08	8.82E-08	9.56E-08	9.13E-08	9.72E-08	8.55E-08	9.82E-08	1.20E-07
clustered_inv_>10Mb	8.15E-08	9.75E-08	8.83E-08	9.59E-08	9.13E-08	9.73E-08	8.56E-08	9.82E-08	1.20E-07
clustered_trans	8.18E-08	9.74E-08	8.81E-08	9.58E-08	9.12E-08	9.74E-08	8.55E-08	9.86E-08	1.20E-07
non-clustered_del_1-10Kb	2.05E-03	2.38E-03	2.13E-03	1.61E-03	1.73E-03	1.72E-03	1.33E-03	6.88E-03	7.62E-03
non-clustered_del_10-100Kb	1.44E-03	2.70E-03	2.12E-03	3.14E-03	9.35E-03	2.36E-03	2.31E-03	1.98E-03	2.45E-03
non-clustered_del_100Kb-1Mb	1.89E-03	4.87E-03	6.51E-03	6.70E-04	1.78E-03	5.04E-03	2.82E-03	5.15E-03	4.18E-03
non-clustered_del_1Mb-10Mb	2.21E-03	4.30E-03	1.80E-03	2.70E-03	1.61E-03	9.40E-03	1.88E-03	1.25E-03	2.30E-03
non-clustered_del_>10Mb	5.16E-03	4.86E-03	7.26E-03	9.74E-03	9.83E-03	9.57E-03	6.88E-03	7.81E-03	5.89E-03
non-clustered_tds_1-10Kb	8.29E-04	1.77E-03	2.19E-03	1.70E-03	9.34E-04	1.96E-03	1.25E-03	2.13E-03	1.65E-03
non-clustered_tds_10-100Kb	7.12E-04	1.43E-03	3.02E-03	1.28E-03	2.19E-03	1.09E-03	4.92E-03	2.24E-03	2.05E-03
non-clustered_tds_100Kb-1Mb	7.61E-04	2.89E-03	2.86E-03	3.66E-03	2.22E-03	2.91E-03	2.30E-03	1.82E-03	3.47E-03
non-clustered_tds_1Mb-10Mb	8.72E-04	1.80E-03	3.14E-03	1.90E-03	2.58E-03	1.24E-03	2.78E-03	3.38E-03	4.20E-03
non-clustered_tds_>10Mb	2.47E-03	2.98E-03	2.48E-03	8.52E-03	3.54E-03	1.84E-03	3.46E-03	1.76E-03	3.27E-03
non-clustered_inv_1-10Kb	8.17E-08	9.74E-08	8.81E-08	9.54E-08	9.14E-08	9.74E-08	8.55E-08	9.82E-08	1.20E-07
non-clustered_inv_10-100Kb	8.21E-08	9.74E-08	8.82E-08	9.56E-08	9.13E-08	9.76E-08	8.55E-08	9.83E-08	1.20E-07
non-clustered_inv_100Kb-1Mb	8.16E-08	9.75E-08	8.81E-08	9.55E-08	9.13E-08	9.70E-08	8.55E-08	9.88E-08	1.20E-07
non-clustered_inv_1Mb-10Mb	8.16E-08	9.73E-08	8.84E-08	9.67E-08	9.14E-08	9.72E-08	8.57E-08	9.82E-08	1.20E-07
non-clustered_inv_>10Mb	8.21E-08	9.74E-08	8.83E-08	9.58E-08	9.14E-08	9.77E-08	8.55E-08	9.84E-08	1.20E-07
non-clustered_trans	2.19E-03	8.14E-03	7.28E-03	6.25E-03	6.18E-03	7.42E-03	3.97E-03	5.75E-03	7.75E-03
