Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1*,1.0,1.0,YES,Most Stab Sigs,28.94%,38.71%,67.53%,26.67%,53.52,0.2085,0.3205,0.038,0.147,0.959,0.838
2,0.55,0.32,NO,N/A,17.68%,27.19%,35.48%,16.24%,28.59,0.1711,0.2563,0.015,0.036,0.984,0.96
3,0.29,-0.15,NO,N/A,14.69%,24.93%,29.56%,13.9%,21.05,0.1497,0.2233,0.01,0.022,0.99,0.975
4,0.18,-0.2,NO,N/A,12.66%,22.12%,28.38%,13.37%,16.13,0.1291,0.1687,0.007,0.01,0.993,0.989
5,0.11,-0.27,NO,N/A,11.87%,19.12%,25.44%,11.76%,15.6,0.1215,0.1518,0.005,0.01,0.994,0.99
6,0.04,-0.29,NO,N/A,12.1%,21.13%,26.64%,11.76%,16.74,0.11,0.1521,0.005,0.011,0.994,0.988
7,0.03,-0.24,NO,N/A,11.39%,15.78%,28.95%,10.69%,14.88,0.1061,0.1541,0.005,0.008,0.995,0.991
8,0.01,-0.35,NO,N/A,9.98%,16.58%,20.33%,10.34%,13.26,0.0925,0.1155,0.004,0.006,0.996,0.993
9,-0.0,-0.38,NO,N/A,9.08%,14.86%,18.42%,9.7%,11.34,0.0814,0.1071,0.003,0.005,0.997,0.994
10,-0.0,-0.43,NO,N/A,8.77%,13.33%,18.56%,8.69%,11.28,0.0722,0.0976,0.002,0.004,0.997,0.995
