Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Syntheticpatient1	18	0.956	6.951	38.617%	3.136	33.816%	0.20645	0.952
Syntheticpatient10	18	0.988	4.363	24.239%	1.716	17.699%	0.16093	0.987
Syntheticpatient2	15	0.974	6.402	42.68%	2.845	27.004%	0.20861	0.974
Syntheticpatient3	16	0.987	4.477	27.981%	1.784	17.664%	0.17437	0.986
Syntheticpatient4	21	0.965	7.35	35.0%	3.315	30.389%	0.13887	0.962
Syntheticpatient5	20	0.966	8.025	40.125%	3.351	26.328%	0.16224	0.964
Syntheticpatient6	20	0.986	5.435	27.175%	1.961	17.199%	0.20917	0.984
Syntheticpatient7	16	0.853	10.804	67.525%	5.133	53.515%	0.3205	0.838
Syntheticpatient8	17	0.978	6.598	38.812%	2.454	22.309%	0.24217	0.977
Syntheticpatient9	17	0.963	8.449	49.7%	3.956	31.775%	0.26167	0.963
