MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G
clustered_del_1-10Kb	3.57E-08	4.63E-08	5.66E-08	6.43E-08	6.05E-08	6.27E-08	4.70E-08
clustered_del_10-100Kb	3.57E-08	4.63E-08	5.66E-08	6.43E-08	6.05E-08	6.27E-08	4.70E-08
clustered_del_100Kb-1Mb	3.57E-08	4.63E-08	5.66E-08	6.43E-08	6.05E-08	6.27E-08	4.70E-08
clustered_del_1Mb-10Mb	3.57E-08	4.63E-08	5.66E-08	6.43E-08	6.05E-08	6.27E-08	4.70E-08
clustered_del_>10Mb	3.57E-08	4.63E-08	5.66E-08	6.43E-08	6.05E-08	6.27E-08	4.70E-08
clustered_tds_1-10Kb	3.57E-08	4.63E-08	5.66E-08	6.43E-08	6.05E-08	6.27E-08	4.70E-08
clustered_tds_10-100Kb	3.57E-08	4.63E-08	5.66E-08	6.43E-08	6.05E-08	6.27E-08	4.70E-08
clustered_tds_100Kb-1Mb	3.57E-08	4.63E-08	5.66E-08	6.43E-08	6.05E-08	6.27E-08	4.70E-08
clustered_tds_1Mb-10Mb	3.57E-08	4.63E-08	5.66E-08	6.43E-08	6.05E-08	6.27E-08	4.70E-08
clustered_tds_>10Mb	3.57E-08	4.63E-08	5.66E-08	6.43E-08	6.05E-08	6.27E-08	4.70E-08
clustered_inv_1-10Kb	3.57E-08	4.63E-08	5.66E-08	6.43E-08	6.05E-08	6.27E-08	4.70E-08
clustered_inv_10-100Kb	3.57E-08	4.63E-08	5.66E-08	6.43E-08	6.05E-08	6.27E-08	4.70E-08
clustered_inv_100Kb-1Mb	3.57E-08	4.63E-08	5.66E-08	6.43E-08	6.05E-08	6.27E-08	4.70E-08
clustered_inv_1Mb-10Mb	3.57E-08	4.63E-08	5.66E-08	6.43E-08	6.05E-08	6.27E-08	4.70E-08
clustered_inv_>10Mb	3.57E-08	4.63E-08	5.66E-08	6.43E-08	6.05E-08	6.27E-08	4.70E-08
clustered_trans	3.57E-08	4.63E-08	5.66E-08	6.43E-08	6.05E-08	6.27E-08	4.70E-08
non-clustered_del_1-10Kb	1.57E-03	4.91E-03	3.61E-03	4.73E-03	2.47E-03	4.44E-03	3.77E-03
non-clustered_del_10-100Kb	1.48E-03	1.57E-03	2.04E-03	3.46E-03	8.56E-03	2.96E-03	1.68E-03
non-clustered_del_100Kb-1Mb	1.79E-03	3.28E-03	4.98E-03	2.48E-03	2.88E-03	4.74E-03	2.98E-03
non-clustered_del_1Mb-10Mb	2.22E-03	2.26E-03	8.76E-03	3.06E-03	3.25E-03	2.97E-03	5.41E-03
non-clustered_del_>10Mb	5.10E-03	7.03E-03	7.53E-03	8.70E-03	9.58E-03	5.51E-03	5.96E-03
non-clustered_tds_1-10Kb	2.28E-04	1.58E-03	2.70E-03	1.92E-03	1.71E-03	1.63E-03	1.45E-03
non-clustered_tds_10-100Kb	1.65E-03	2.85E-03	1.98E-03	1.40E-03	2.31E-03	1.57E-03	3.32E-03
non-clustered_tds_100Kb-1Mb	1.03E-03	2.41E-03	2.29E-03	4.69E-03	1.33E-03	2.50E-03	1.68E-03
non-clustered_tds_1Mb-10Mb	1.21E-03	2.77E-03	2.50E-03	2.98E-03	2.16E-03	2.73E-03	2.12E-03
non-clustered_tds_>10Mb	2.78E-03	1.97E-03	1.61E-03	8.74E-03	4.30E-03	1.66E-03	4.21E-03
non-clustered_inv_1-10Kb	3.57E-08	4.63E-08	5.66E-08	6.43E-08	6.05E-08	6.27E-08	4.70E-08
non-clustered_inv_10-100Kb	3.57E-08	4.63E-08	5.66E-08	6.43E-08	6.05E-08	6.27E-08	4.70E-08
non-clustered_inv_100Kb-1Mb	3.57E-08	4.63E-08	5.66E-08	6.43E-08	6.05E-08	6.27E-08	4.70E-08
non-clustered_inv_1Mb-10Mb	3.57E-08	4.63E-08	5.66E-08	6.43E-08	6.05E-08	6.27E-08	4.70E-08
non-clustered_inv_>10Mb	3.57E-08	4.63E-08	5.66E-08	6.43E-08	6.05E-08	6.27E-08	4.70E-08
non-clustered_trans	2.72E-03	6.08E-03	7.42E-03	8.15E-03	6.00E-03	8.54E-03	4.50E-03
