MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H
clustered_del_1-10Kb	6.36E-08	7.59E-08	6.30E-08	6.89E-08	6.71E-08	7.16E-08	7.36E-08	1.02E-07
clustered_del_10-100Kb	6.36E-08	7.59E-08	6.30E-08	6.89E-08	6.71E-08	7.16E-08	7.36E-08	1.02E-07
clustered_del_100Kb-1Mb	6.36E-08	7.59E-08	6.30E-08	6.89E-08	6.71E-08	7.16E-08	7.36E-08	1.02E-07
clustered_del_1Mb-10Mb	6.36E-08	7.59E-08	6.30E-08	6.89E-08	6.71E-08	7.16E-08	7.36E-08	1.02E-07
clustered_del_>10Mb	6.36E-08	7.59E-08	6.30E-08	6.89E-08	6.71E-08	7.16E-08	7.36E-08	1.02E-07
clustered_tds_1-10Kb	6.37E-08	7.60E-08	6.30E-08	6.89E-08	6.71E-08	7.16E-08	7.36E-08	1.02E-07
clustered_tds_10-100Kb	6.35E-08	7.59E-08	6.30E-08	6.89E-08	6.71E-08	7.16E-08	7.36E-08	1.02E-07
clustered_tds_100Kb-1Mb	6.36E-08	7.59E-08	6.30E-08	6.89E-08	6.71E-08	7.16E-08	7.36E-08	1.02E-07
clustered_tds_1Mb-10Mb	6.36E-08	7.59E-08	6.30E-08	6.89E-08	6.71E-08	7.16E-08	7.36E-08	1.02E-07
clustered_tds_>10Mb	6.36E-08	7.60E-08	6.30E-08	6.89E-08	6.71E-08	7.16E-08	7.36E-08	1.02E-07
clustered_inv_1-10Kb	6.36E-08	7.59E-08	6.30E-08	6.89E-08	6.71E-08	7.16E-08	7.36E-08	1.02E-07
clustered_inv_10-100Kb	6.36E-08	7.59E-08	6.30E-08	6.89E-08	6.71E-08	7.16E-08	7.36E-08	1.02E-07
clustered_inv_100Kb-1Mb	6.36E-08	7.60E-08	6.30E-08	6.89E-08	6.71E-08	7.16E-08	7.36E-08	1.02E-07
clustered_inv_1Mb-10Mb	6.36E-08	7.60E-08	6.30E-08	6.89E-08	6.71E-08	7.16E-08	7.36E-08	1.02E-07
clustered_inv_>10Mb	6.36E-08	7.59E-08	6.30E-08	6.89E-08	6.71E-08	7.16E-08	7.36E-08	1.02E-07
clustered_trans	6.36E-08	7.59E-08	6.30E-08	6.89E-08	6.71E-08	7.16E-08	7.36E-08	1.02E-07
non-clustered_del_1-10Kb	1.70E-03	5.61E-03	1.37E-03	3.22E-03	7.02E-03	2.07E-03	4.41E-03	3.74E-03
non-clustered_del_10-100Kb	1.23E-03	3.42E-03	1.40E-03	3.16E-03	1.63E-03	9.01E-03	2.43E-03	2.79E-03
non-clustered_del_100Kb-1Mb	1.23E-03	3.71E-03	4.97E-03	9.78E-04	2.74E-03	2.79E-03	4.96E-03	6.38E-03
non-clustered_del_1Mb-10Mb	1.05E-03	2.79E-03	8.37E-03	3.14E-03	7.83E-04	2.11E-03	2.45E-03	8.22E-03
non-clustered_del_>10Mb	5.32E-03	4.69E-03	8.60E-03	9.92E-03	8.04E-03	1.02E-02	6.87E-03	6.03E-03
non-clustered_tds_1-10Kb	3.92E-04	1.29E-03	2.22E-03	1.68E-03	1.46E-03	1.55E-03	2.56E-03	2.12E-03
non-clustered_tds_10-100Kb	2.76E-03	2.10E-03	1.93E-03	1.35E-03	4.72E-03	2.02E-03	2.60E-03	2.46E-03
non-clustered_tds_100Kb-1Mb	5.19E-04	2.48E-03	2.64E-03	3.90E-03	1.46E-03	1.93E-03	2.57E-03	4.62E-03
non-clustered_tds_1Mb-10Mb	1.35E-03	3.01E-03	1.84E-03	1.35E-03	3.22E-03	2.84E-03	3.46E-03	2.27E-03
non-clustered_tds_>10Mb	2.26E-03	2.92E-03	2.68E-03	8.86E-03	2.13E-03	3.64E-03	2.17E-03	3.41E-03
non-clustered_inv_1-10Kb	6.36E-08	7.59E-08	6.30E-08	6.89E-08	6.71E-08	7.16E-08	7.36E-08	1.02E-07
non-clustered_inv_10-100Kb	6.36E-08	7.59E-08	6.30E-08	6.89E-08	6.71E-08	7.16E-08	7.36E-08	1.02E-07
non-clustered_inv_100Kb-1Mb	6.36E-08	7.59E-08	6.30E-08	6.89E-08	6.71E-08	7.16E-08	7.36E-08	1.02E-07
non-clustered_inv_1Mb-10Mb	6.36E-08	7.59E-08	6.30E-08	6.89E-08	6.71E-08	7.16E-08	7.36E-08	1.02E-07
non-clustered_inv_>10Mb	6.36E-08	7.59E-08	6.30E-08	6.89E-08	6.71E-08	7.16E-08	7.36E-08	1.02E-07
non-clustered_trans	2.84E-03	8.63E-03	4.67E-03	6.25E-03	5.67E-03	5.95E-03	7.23E-03	7.44E-03
